,SMILES
0,CCC1=COC=CC1
1,C1=CCCCC=C1
2,OC1CCCC1
3,C=CCCCC=C(C)C
4,C=C(CC1CCC2=C1CCC2)C1C(=O)c2cccc3c2C2C1=C=CCC=C=C2C3c1ccccc1
5,OC1CCCC1
6,CN1CCCC1
7,NC1=C2C(=CC=CC1)C=C1CCCC=CC1C2N
8,NC1=CCCC=CC1
9,CC(=O)N1Cc2cccc(c2)CCN2CCC2C1=O
10,C1=CC2CCCN2CCC1
11,OC=C1CCCC(O)C1O
12,O=C1C2=C=C(CCC1c1ccccc1)C1C=CC=c3ccc(cc31)=c1ccccc1=C2
13,O=CC1C=CCC=C1
14,O=C1CC2CCC(O)C2C1
15,C1=CCCCN2CC=CC=CC=12
16,O=Cc1ccccc1
17,O=C(C(O)CC1=CCC=CC1)N1CC2=CC=CC=CC2C2=COCC3=CCC=CC1=C32
18,C=C(C)C(=O)CC1C=CC=CC1
19,C1=CC=C2C=CSC=C2C=C1
20,OC1C=CCC(N2CCCCC2)C1
21,O=C1CCCO1
22,CC(=N)CCCc1ccccc1
23,CCCC(=O)O
24,CCCC(c1ccccc1)C1C(=O)C(C)C(C)c2cccc3c(C)ccc1c23
25,O=C1C2=CCC=CC2C2=C1CCC2
26,CC(C)CNCc1ccccc1
27,O=C(O)C1C2=CC=CC=CC2C2C=CCC=C12
28,Cc1ccccc1
29,O=C(O)C1C=CCCCC1
30,CC1CC=CCCO1
31,OC1C=CC=CC1O
32,O=C1CC=C(O)Cc2cc3c4c(cccc4c21)CC=C3
33,CCOC1CCC(O)C1
34,C=CC=C=CC(C)C
35,OC1=C(O)CC=CC1
36,c1ccc2c(c1)CCC2
37,O=C1CCC2C1=CCC1=C2CC=CC1
38,CC1CCC2=C1CC1=C3C(CC1)C(CCC1CCCCC1)CC1=CCCN2C13
39,C=CCC1=CN(c2ccccc2)c2[nH]c3c4c2C1C=CC=C4CC(C(=O)O)C3c1ccccc1
40,C=CCCCCCC1=CCC=CC1
41,COC(=O)CCc1ccccc1
42,OC1CCC2CCC=CCC12
43,C=C(C)C1CC2CCC3=CCC(c4cc(C)c(F)cc41)C32
44,Oc1ccccc1
45,CC(O)NCC1=CCC2=C(CCC2)C1
46,C1=CCC(CCC2CC=CCC2)=CC#CC2=CC=CCC=C2C2=CC=1C=CC2
47,C=C(C)CCCCC
48,CC=C=CCCCCC(C)O
49,CCC1CC2CCCC3C4=CCC=C(O)C4OC(C1)C23
50,O=C1C=CCCC=CC1
51,C1=Cc2ccccc2C1
52,C1=CNC=CC1
53,CCCCCCC(C)C
54,OC1=CC=CCC=C1
55,OCC(O)CS
56,C1=Nc2ccccc2CCC1
57,OC1CCCCCC1
