,SMILES,QED,Proxy
sample0,COc1cc(CNc2ccc(F)c(-c3nc(Cc4cccc(C(=O)OC(C)C)c4)no3)c2)c2ccccc2n1,0.227,-9.927
sample1,COc1ccc2c(c1)C(C(=O)O)(N(Cc1cn(CC3CC3)nn1)C(=O)C(=O)Nc1ccnc3ccc(F)cc13)[C@H](C)C2,0.306,-9.411
sample2,Cc1nc(C)c(CNC(=O)C2C(N3Cc4ccccc4[C@H]3C(=O)CCl)CCCN2C)[nH]1,0.670,-8.879
sample3,CN1CC[C@H](CNC(=O)Nc2cc(F)c(NC(=O)C(=O)N[C@]3(C(=O)O)CCCCc4ccccc43)cc2Cl)[C@H]1c1cccnc1,0.190,-7.661
sample4,C=CCn1cnc(C)c1C(=O)N1Cc2ccc(Oc3cc(N)c(C)cc3O)cc2[C@@H](O)C1,0.322,-9.216
sample5,Cc1cc(NC(=O)N(C)c2cccc3[nH]ncc23)c(N)cc1Oc1nc(Br)ccc1Cl,0.244,-9.177
sample6,CC[C@](C)(O)CN(Cc1cn(C)nn1)C(=O)[C@@H](C)[C@@H](C)N(CCOC(C)(C)C)C(=O)[C@@H]1C[C@H](N)CN1,0.374,-7.769
sample7,COC(=O)c1cc(-c2noc([C@@H]3C[C@H]3CNC(=O)Nc3ccc4nc[nH]c4c3)n2)c[nH]1,0.349,-9.112
sample8,Cc1c(Nc2ncc(CNC(=O)C(=O)NCC(C3CC3)C3CC3)cc2Br)ccc(N)c1Cl,0.306,-8.767
sample9,C#Cc1cnccc1S(=O)(=O)CCN(C(=O)NCc1ccccc1)C(C)(C(=O)O)c1ccccc1F,0.428,-8.658
sample10,C[C@H](C(=O)N=c1ccn(C)c(Oc2cnc(C(=O)N(C)CCc3cccnc3)c(F)c2)n1)N(C)C,0.483,-8.619
sample11,CC(=Cc1ncc(Br)cc1Sc1c(C(N)=O)nn(C)c1C)C(=O)NCc1ccccc1,0.480,-8.618
sample12,NCc1cccc(Oc2cc(F)c(NC(=O)C(=O)Nc3cccc(-c4nc[nH]n4)c3)c(F)c2)c1F,0.310,-9.798
sample13,CC(C)ON=Cc1ccc(Sc2cc(F)c(N)c(CN3C[C@H](C)Cn4nccc43)c2)cn1,0.320,-9.027
sample14,Cc1nc2ccc(C(=O)N3CCOc4cnccc43)cc2n1C,0.692,-8.201
sample15,C[C@@H](C(=O)N(Cc1c(F)ccnc1F)[C@@H](C)C[C@H](O)c1ccco1)N1CCC[C@@H](CN)C1,0.571,-8.438
sample16,CCS(=O)(=O)[C@@H]1C[C@@]1(NC(=O)N(CCF)[C@H]1CCC[C@@H]2C[C@@H]21)C(=O)Nc1cn([C@H](C)C#N)nn1,0.526,-8.657
sample17,CC[C@@]12C[C@@H]3C[C@@H]1[C@@H]2[C@@H]3NC(=O)[C@@H](N)[C@H](F)c1nc(-c2cc(F)c(Cl)c(F)c2)no1,0.670,-9.400
sample18,N#C[C@@H]1CCCC[C@H]1Oc1cc(N[C@H]2C[C@H]3CC[C@H]2[C@@H]3CC(=O)O)cnc1C(N)=O,0.626,-8.620
sample19,C[C@@H]1CC(=O)Nc2ccc(-c3nc(-c4ccc(CNC(=O)N(CC=CCO)C5CCCCC5)cn4)no3)cc2N1,0.306,-9.295
sample20,CCN(C)C(=O)C(=O)Nc1cc(F)cc(Br)c1OCc1ccc(-n2cncn2)cc1,0.553,-8.651
sample21,Cc1cc(-c2nc(-c3ccc4nc(Sc5cccc(C(N)=O)c5C)[nH]c4c3)no2)cnc1F,0.365,-9.936
sample22,Cc1cc(O)cc(-c2nc3cc(S(=O)(=O)c4ccc(N)c(CO)c4)cnc3s2)c1,0.427,-9.263
sample23,Cc1nc(Cl)cc(NC(=O)N(CC2CC2)[C@H]2CCO[C@@H]2C)c1OC1=CC(=O)O[C@@H]1O,0.519,-8.289
sample24,C[C@@H]1COCC[C@H]1C(=O)Nc1ccnnc1NCc1ccnc(O)c1,0.759,-7.801
sample25,Cc1ncc(F)cc1Oc1cnc2c(c1)nc(C)n2C(C(=O)O)(c1ccc(Br)cc1)[C@H](C)N,0.394,-8.871
sample26,COc1cccc(CNC2C(=Cc3cnc(Br)cc3C)c3ccc(OC)cc32)c1,0.499,-9.029
sample27,COC(=O)c1cc(N(C(=O)NCc2nccc3ccccc23)c2ccc(-c3nc[nH]n3)cc2)c(C#N)[nH]1,0.302,-9.678
sample28,Cc1c(F)ccc(OC(C)(C)CNC[C@@H](O)c2ccccc2)c1NC(=O)C(=O)N(C(C)C)[C@H](CO)CCC(C)C,0.252,-8.053
sample29,C[C@H](NC(=O)Nc1c(Cl)cc(Nc2cccc3nc[nH]c23)cc1Cl)c1cccc2c[nH]nc12,0.201,-9.586
sample30,O=C(Nc1cc2ccccc2nc1OC1(C(=O)O)C=CC(=O)c2cnccc21)Nc1cccc2cncn12,0.324,-9.692
sample31,COc1ccnc(Oc2ccc(Br)c(CNc3ccnc4ncnn34)c2)c1B(O)O,0.343,-8.983
sample32,Cc1c(Br)cccc1-c1nc(-c2c[nH]c(C(=O)N[C@H](C)c3ccc4[nH]ccc4c3)c2)no1,0.291,-9.602
