,SMILES,QED,Proxy
sample0,COC(=O)[C@H]1[C@@H](Oc2ccc(C#N)c(F)c2)CCN1C(=O)[C@]1(C#N)C[C@@H]1C,0.747,-8.466
sample1,COC(=O)[C@H]1[C@@H](Oc2ccc(C#N)c(F)c2)CCN1C(=O)[C@@H]1CC[C@H]1F,0.763,-8.468
sample2,O=C(O)[C@H](CCNc1ccn2cnnc2c1)Oc1cncc(F)n1,0.658,-7.798
sample3,C[C@@H]1NC[C@@H]1C(=O)N[C@@H]1C(=O)N(Cc2ccc(Cl)c(F)c2)C(=O)N[C@H]1C,0.725,-8.439
sample4,N#Cc1ccc(F)c(NC(=O)[C@@H](O)CCNC(=O)c2cccnc2O)c1F,0.595,-8.397
sample5,N#Cc1ccc(O[C@@H]2C[C@@H](CN)N(C(=O)c3cccnc3O)C2)cc1F,0.857,-8.605
sample6,N#Cc1ccc(N(c2ccc(O)nn2)[C@@H]2CN[C@H](C(=O)O)C2)cc1F,0.755,-8.279
sample7,C[C@@H]1NC(=O)N(Cc2cccnc2Oc2cccc(F)c2)C(=O)[C@H]1N,0.881,-8.553
sample8,Cc1cc(C(=O)N[C@@H]2C(=O)N(Cc3ccnn3C)C(=O)N[C@H]2C)ccc1N,0.679,-8.385
sample9,C[C@@H](Oc1c[nH]nc1C=C(C#N)c1ccc(F)cc1)[C@@H](N)C(=O)O,0.693,-8.052
sample10,Cn1ncc(N)c1C(=O)NCC[C@H](O)C(=O)Nc1ccccc1O[C@H]1CCOC1,0.496,-8.054
sample11,Cc1c(F)cccc1NC(=O)[C@H](NC(=O)[C@H](N)C(F)F)[C@@H](C)O,0.609,-7.561
sample12,C[n+]1cccc(O[C@@H]2CO[C@@H](O)[C@H]2Oc2ccc(C(N)=O)cc2)c1,0.761,-8.031
sample13,CO[C@H]1C[C@](NC(=O)[C@H]2CN(C(=O)c3ccc4c(c3)C[C@H](N)C4)[C@@H]2C)(C(=O)O)C1,0.653,-8.851
sample14,O=C(N[C@H](C(=O)NCC[C@H](O)C(=O)O)C1CCC1)c1ccc2c(c1)CCC2=O,0.517,-8.363
sample15,C[C@@H](Oc1cccc(C=O)c1Oc1ccc(F)c(C#N)c1)[C@@H](N)C(=O)O,0.729,-8.451
sample16,Cc1cc(C)c([C@H](C(=O)O)N(C)C(=O)[C@H]2O[C@@H]2C)c(C)c1,0.861,-7.781
sample17,N#Cc1ccc(F)c(NC(=O)[C@@H](N)[C@H](F)C(=O)O)c1F,0.746,-7.585
sample18,C[C@@H]1CC[C@@H](C(=O)NCC[C@H](Oc2ccc(C#N)c(F)c2)C(=O)O)CN1,0.676,-8.292
sample19,NCC[C@H](Oc1ccc(NCC(=O)O)c(F)c1)C(=O)O,0.549,-7.071
sample20,Cc1cnc(C(=O)N(CC[C@H](O)C(=O)O)c2cc(O)c(F)cc2F)c(C)n1,0.694,-8.236
sample21,CO[C@H]1C[C@](NC(=O)[C@H]2CN(C)C=N2)(C(=O)Nc2cccc(F)c2C)C1,0.821,-8.401
sample22,Cc1cnc(C)c(C(=O)N(c2cnc(F)c(C#N)c2)[C@@H](CCS)C(=O)O)n1,0.572,-7.918
sample23,C[C@@H](O)[C@@H](NC(=O)[C@H](N)CC[S+](C)C)c1nnc(-c2ccc(O)cc2)o1,0.491,-7.760
sample24,COc1cc(F)ccc1NC(=O)[C@@H](O)CCNC(=O)c1cccnc1O,0.584,-8.034
sample25,CC1=NC(=O)[C@@H](NC(=O)C2(Oc3ccc(C#N)c(F)c3)CC2)C=N1,0.894,-8.411
sample26,CCn1c(=O)cc(NC(=O)[C@H](NC(=O)c2cc(C)on2)[C@@H](C)O)n(C)c1=O,0.582,-7.773
sample27,Cn1ncc(N)c1C(=O)NCC[C@H](O)C(=O)N[C@@H]1CCc2ccc(Cl)cc21,0.583,-8.372
sample28,Cc1cc(C)c(Cl)c(NC(=O)[C@H](N)[C@@H](C)Oc2ccc[n+](C)c2)n1,0.808,-7.899
sample29,Cn1ncc(C#N)c1O[C@@H]1C[C@@H](N)C[C@@H]1Oc1cccc(F)c1,0.928,-8.136
