SMILES,DockingScoreReward,CornealReward,MelaninReward,IrritationReward,Reward,DockingScoreProperty,CornealProperty,MelaninProperty,IrritationProperty,Epoch
FC(Cc1cccc(C23CC4CC(CC(C4)C2)C3)c1)c1ccc2c(c1)C1C=CCC1C(c1ccc3c(c1)OCO3)N2,9.9,-0.019868218898773216,-0.15044444444444438,-0.11587902715351125,9.613808309503272,-9.9,0.8801318,0.7495555555555556,0.21587902715351126,200
C1=CC2c3cc(-c4nnc(-c5cccc(-c6ccnc(C78CC9CC(CC(C9)C7)C8)c6)c5)o4)ccc3NCC2C1,11.3,-0.0,-0.2534559884559885,-0.028886385538529846,11.017657626005484,-11.3,0.9029269,0.6465440115440115,0.12888638553852985,200
S=C(c1cccc(C23CC4CC(CC(C4)C2)C3)c1)c1ccc2c(c1)C1C=CCC1C(c1ccc3c(c1)C1C=CCC1CN3)N2,10.6,-0.7948777988553047,-0.2693968253968254,-0.10227517097131603,9.433450204776554,-10.6,0.1051222,0.6306031746031746,0.20227517097131603,200
Cn1ncc2c1CC(c1cccc(-c3cc(-c4cc(C5COc6ccccc6O5)ccn4)on3)c1)CC2,10.0,-0.0016399264335632546,-0.3326190476190476,-0.0,9.665741025947389,-10.0,0.8983601,0.5673809523809524,0.018892236144047874,200
O=C(c1nnc(-c2cccc(C34CC5CC(CC(C5)C3)C4)c2)o1)C1C=CC(c2ccc3c(c2)C2C=CCC2CN3)C1,10.8,-0.01639690399169924,-0.23119408369408345,-0.0,10.552409012314218,-10.8,0.8836031,0.6688059163059166,0.044605788831896205,200
c1cc(-c2nnc(-c3nnc(-c4ccnc5ccccc45)o3)o2)cc(C23CC4CC(CC(C4)C2)C3)c1,10.8,-0.05869545936584475,-0.17465440115440123,-0.6944710999238343,9.87217903955592,-10.8,0.84130454,0.7253455988455988,0.7944710999238342,200
O=C(c1cccc(-c2nnc(C34CC5CC(CC(C5)C3)C4)o2)c1)C1C=CC(C2Nc3ccccc3C3C=CCC32)C1,9.7,-0.01639690399169924,-0.20920995670995657,-0.0,9.474393139298343,-9.7,0.8836031,0.6907900432900435,0.09142461003452597,200
O=C(c1cccc(C23CC4CC(CC(C4)C2)C3)c1)c1nnc(-c2ccc3c(c2)C2C=CCC2CN3)o1,10.4,-0.011702919006347678,-0.23119408369408345,-0.0,10.15710299729957,-10.4,0.8882971,0.6688059163059166,0.044605788831896205,200
c1ccc(-c2nnc(-c3cc(-c4ccc5c(C67CC8CC(CC(C8)C6)C7)c[nH]c5c4)on3)o2)cc1,9.9,-0.1398122549057007,-0.15453174603174624,-0.33867073719682617,9.266985261865726,-9.9,0.76018775,0.7454682539682538,0.43867073719682614,200
C1=CC2c3ccccc3NC(c3nnc(-c4cccc(-c5nnc(C67CC8CC(CC(C8)C6)C7)o5)c4)o3)C2C1,11.0,-0.011535727977752708,-0.17413059163059152,-0.0735963711854907,10.740737309206164,-11.0,0.8884643,0.7258694083694085,0.1735963711854907,200
