,SMILES
0,CCC=O.NC#CCCNN1scn=C1C1OC1Cl.NCN.O=P(O)(O)NCCCNCCNO
1,CC1CC1.CCC(NCC(S)=CCN)C1CC1O.N#CC=CCCN.N=CO.O
2,NC(N)(N)S.NN.O.OC=CCCCNO.S=C(Cl)NCC(CCl)OCCCl
3,CC.CSNNNC(=CCl)C(C#N)NCCCCl.N=C(N)NCCCCC=CO.O
4,CC(CC=C(C=CCCO)NC#N)=C(C#N)=C(N)O.CCOC.CN.COC(=O)C=COC1C2OC12
5,N.NC(N)NCCC=CC=CNS.OCCO.OCOC=CCONO
6,C=C(C)CC#CC(CO)=NNO.COC(=O)NCC=CCON.NC=CN.OC=C(O)CO.c1ccC=CC=1
7,CC=CCC=C(C=CNC#N)C(CC)CCSCCNCCO.COP(=O)(O)C=CCCC(C)N=CN
8,CC=CC.CCC(CC#N)=C(=O)NC(C#N)COCSCCO.COC=CNCO.OC1OC12OC2O
9,COCCN(CO)CCO.N=CNCCC=CO.NCCO.SC1CS1
10,CC#CN.CC=CS.CCOC=CC(=C=CC=N)SC.CO.NC(=O)NO
11,CSCCCN1C(NCN)C1C(O)CCl.NCNN(O)O.O.OC(O)=OP(O)O
12,C.CCCC=C1N(CNNC=CC#N)O1C.CCNC(S)NCN(CCN1CCC1)C(N)NCO.N#CNCO
13,C.NCC1SC1NC(=S)N=CNSC1CC1.O=[PH](O)OCCO.OCC(O)O.ONC(O)O
14,CCCC(O)NC.CO(O)CCO.COO.Cl.N#CNNCCS.OCCCCNOCO
15,CCSC(NN(C)CO)SCCC#N.CS.NNN.O=C(O)C=CCCCO
16,CC(NCC=NCC=CO)C(N)O.CC1CN1C=NC(=O)Cl.CCNC(SCC)C1NCNCN1.O
17,CCC(CC1=NC(C=nc(C)C)=CC(C)=C1)NC(C)C.COCCCC#CN[SH](=O)(O)O.OCCO
18,C.CCO.CSC1(C(=O)NC2CS2)NNC1Cl.Cl.N#CCNCC#CCCN
19,C=C.CCC#N.CCN=CCNCNN(=O)O.N=C1NNC(CSCSC=C#CN)N1
20,C.C=C(O)SC.CNC1CC1N.Cc1sc(CC#CN)nc1N(O)C(C)S.NCNC1CS1
21,CC(N)N(O)C=C(C=CN)SC(C#N)CNC=N.CCCCC=C(O)CC(O)CO.NCNCO
22,CC(C)c1cc([SH](C)CCCl)cnc1C(=N)NCCCl.CC(SCCCCCO)P(=O)(O)O.N=CNCO.O
23,CC1CCN1(CCC=CCCS)CCCO.NC(S)NONNNNNO.O.O[PH]1(O)CO1
24,C=CC1=NC(C#CS)C(C(O)CNCN)=C1SCl.CC(CCO)CONCNO.CC1CC1.CCCO
25,CCSC(#CCNC(NO)NO)SC#N.N#CCNO.OCCOCCC=C=CN=C(O)O
26,C1CN1.CCSCC.N.N#CCCCO.NOC1C(=C=CO)C12OCl2
27,C.C=C(Cl)CCC#CCCN(C)NO.N#CCC(C#N)N(C#N)C1=NN=C(SCN)C1.NC(N)N
28,CCC(C#N)=NC(C#CC1CC1)CCNCNC=O.CO.N#CO(CCOCCN)OC1CC1O
29,CC=NC(=O)NC=C(CCC)C1CO(N)C2(N)CC12.OC=C(O)CCCCCCO.ON1C2CC21
30,C=C.CC#CNCSCC=CCC=O.NCN.OC#CC=CO.OCCCO
31,CCC=CCCCC#CCC(CCCl)N(O)CCCN#CCl.OCC(O)C#CCCCCNO
32,CC.CC(O)N=C(NC1CC1NC#N)C1CCCCN1.N#CC#CCCNC1(=N)=N(O)N1.NC(=O)NO
33,CCSC.COC1=C(C)CC(C=CN)=C(OC)C1OC.COCNNNN#CNC(N)CO.N.NC(=O)NO
34,CC#C(CC#N)CCC(Nc1n[nH]c(N)n1)NC(C)C(=O)O.NCCl.O=C(O)C1CC1CCOC(O)CCCO
35,CC1N=C1N.CCCC(=CCCCSCO)CC#CS.Cl.NCNCCCP(=O)(O)O
36,C1CNCN1.CSC(C)C.O=C(Cc1n=c(N23CC2CO3)nc[nH]1)N(O)S.O=CCCN#CNCOC(O)O
37,C=CC(C#CCC(C)CC)C#CN1NC(N)NN1NOC.CC(C=CC(=O)NCNC(=N)N)CO.CN(O)CO
38,CNCC(OC)C(=O)NCCCNCOC.N#CCCCO.N=C=N.NCC=CNCOC(=O)O
39,CCNc1nnc(NN(C)(C)CN)nc1NCC#CC#N.C[SH](C)C.O=C(N=CCCCNNNCNO)NO
40,CCC=CC=NCN1NC(CC=CC#N)=C(C2CC2C)N1.CO.NC1OC1O.OCC=CNOC=CNOCO
41,C=C.CO.COC=CNC(N)N#CN.O.O.OCN=CCC(O)CO
42,CC1(CNCC=C(N)NO)CO1.CCC(CN)C(C)(C)CCCC=CCSO.NC(N)S.O
43,CCN(CCCN)Cc1nc(NO)nn1NCC(C)C.OCC1CO1.OCCCN=C(O)OCCC(O)C(O)O
44,NC#CCC(C#CC(O)NON)CCSCCCCCO.NCCCCO.O.OCCOO
45,C=N(NC1=C(C#N)C1)OC(Cl)C=COO.CCCC.CCO.CO.NCCOCCO
46,CC[SH]=C(S)Nc1nc(OC)c(O)c(N(C)CN)n1.NC(N)NO.NCCC=COCNCOP(=O)(O)O
47,CC=C(NO)NC(S)=C=[SH]C=CSC#N.NCCl.OCC=C=CCCO.ONCOO
48,C.CC(C)=C(C)NCCC=C(S)C#N.CCCOCC.O.O.OC1C2OC12
49,CC.COC=CCCCCCS.CSC=CSCCc1ccc(S2(=O)=ON2CC(O)S)cc1.OCO
50,CC1(NCCCCC=CSCS)ClC1N.NCCN.O.OC=CC1CO1
51,N.N.N#CCNCCC(CO)NO.NCO.O=C(O)C1CC1.OOC1CC1
52,CCN1CNC(N(C)C)C2=C1CN(CC#N)C=[SH]2.NCNO.OCCNCC=CCNC1CC1.OOCC(O)O
53,CCSC.CCSN=C(C=CC=CO)NCN.N.NC(N)NCCCCOCO
54,NC1N(C(=O)CCCSCCCl)C1(O)O.NN.O.ON1CC1CCNCC1CC1C1CC1
55,CC1CC1C(=O)SC=CC(O)CO.CNC(N)=O.OCC(O)CCSC=NNO
56,C=C(C)C(O)NC(C=COC)=CCC#CCC.O.O=P(O)(O)OCCCCNO.OCCCO
57,CC(N)NC=O.N#C[SH](CN)CCC(NC(N)S)C1CC1.OCCCCC#CC=CC(O)O
58,CC=N.COC#CC1=CCNC(NC2CC2S)=N1.N#CS.NC(NO)=OC=CC1C2C1[NH]2O.OCCO
59,CC.CCSCCNN(=N)C1CC1.O=C(C=CCCNO)NNC(Cl)C1CCCCC1.OOCOO
60,C=N(C)COCNC=CCCClO.N#CCN1CC2C3OC3C(NC(N)N=CC=NC(N)S)C21.NC(N)N
61,CC(N)=N=CC=CCSCSC=N.CC(O)O.CCCOCO.CCO.O
62,CC(CN)CCN(CC1CC1)C1=NC(=N)C(O)C=N1.CC(O)NCC=CC=OCO.CC(O)O.N=CNO
63,C=C(C)O.CCC(=O)NCO.CCC(C)NN=C(C)c1nncs1.N#CC=CC=CNC1CC1C=NO.O
64,CC.CC#CC.CO.CSCC(O)NN1NC1C.OCCCC=CCC(CO)NO
65,NC#CC(=CCNOCO)N=CC1CC1.NCCC1NNCSC1NCCSCCO
66,CCC1C(N)C1C=CO.CCN.OCC(O)O.OCCCCN=NO
67,C=N.CC=CC=NO.ClC1=C(CC2CO2)NSN1.ClCC[SH]1CC1.OCCNN(O)O
68,CC.CNC=C1(Cl)NCNC2NCC(CCl)SC21.NCCCCCOCC(O)CO.OC1(O)CO1
69,CC(C)N1CCN=C1N=C(C=N)NCCl.CCC=ONCCC(O)C(O)O.N.N.NCN.O
70,C=CC.CO.N=C(N)NC1CCC(CCl)C2CCCCC12.OC=CC(O)C=CCCCO.OCOOO
71,C.C=CCN1C(NO)C12Cc1c(CC)cccc1N2.CC(C)C.N.OCC#CCN(CO)OCCOCC1CO1
72,C1CC1.N=CNCC[SH](CS)CCC#CN.O.OCCCC=CCSO
73,CC=O.C[SH](NO)C(C=N)CCCC#N.NCCCCCC=CO.O
74,CCO.N.NC(S)NO.O=C(O)NC1CC1.OC1CNC2C1N2c1cccc(Cl)n1.OCOO
75,CCCCC1ON1NCC(O)CO.CCN.CCc1cccc(N(C)C(CC#N)C(C)N)n1.OCC(O)CO
76,CC.CC(O)O.CNc1nc(Cl)sc12C1C(NCO)N12.NC(N)NCCONNNNS.OCO
77,CCSC1OC1N(CCCl)NCO.NC1CC1O.ON=CCOCCC1C2=C1O2
78,C1CC12CO2.CC=CCOO.CCSC.C[SH](C=NCO)CC(O)O.O
79,CCSCC(=CC#N)Nc1nc(NCS)ncc1OC.COC(=CO)CCCN(COCCC1CO1)NCO
80,CCNC=CC=C1C2CC12.CCSCN=CC(=CC(C)N)N(C)O.N.OCCCO
