SMILES,DS
CCC12C=CC=CCCC3CCCC(C)C3C(=N1)CC=CC2,-10.549
CC1CC=NCCCNCC(=O)Nc2cc(ccc2C2CC=CC2)C(C)C1,-10.397
CCC12C=CC=C3CCC=CC3CCCCC1=NCSC2C,-10.175
CCC1C=C2NN=CCCCCc3ccccc3CC1CO2,-10.16
CCC12C=CC=C3C=CCCC3CC(C)CC1=NCC=CC2,-10.118
CCC1=C(C)NNC(CN(C)N2CCCc3ccccc3CC2=O)=C1,-9.973
CCC1=C(C)NCC=C1CN(C)N1CCCc2ccccc2C2C=C21,-9.93
CCC12C=CCC3CCCCC3CCCCC1=NCSC2C,-9.807
CC1CC=NCCCCCC(=O)NCCC(CC=CC2CC=CC2)C(C)C1,-9.777
CCC1=C(C)NCN=C1CCCN1CCCc2ccccc2CC1=O,-9.772
CC1CC=NCCN=CCC(C)C(C)NC(CC=CC2CC=CC2)C(C)C1,-9.739
CCC12C=CC=C3CCCCC3CC(C)CC1=NCSC2C,-9.718
CCC1=C(C)NCN=C1CCCN1CCCC2=CC=CCC2CC1=O,-9.716
CC1CC=NOCCCCC(=O)NCCC(CC=CC2CC=CC2)C(C)C1,-9.674
CCC1=C(C)NNN=C1CCCN1CCCC2=CC=CCC2CC1=O,-9.662
CC1CC=NCNC=CCC(=O)NCCC(CC=CC2CC=CC2)C(C)C1,-9.641
CCC12C=CCC3CCCCN3CCCCC(=N1)CC=CC2,-9.639
CCC1=C(C)NNC(CCCN2CCCc3ccccc3OC2=O)O1,-9.624
CC1CC=NCCCCCC(=O)NC2CC(=CC=C2C2CC=CC2)C(C)C1,-9.617
CCC1C(CC(C)N2CCCc3ccccc3C3C=C32)=CNNS1=O,-9.615
CCC1=C(C)NNN=C1CCCN1CCCc2ccccc2CCC1,-9.612
CC1CC=NNCCCCC(=O)NC2CC(=CC=C2C2CC=CC2)C(C)C1,-9.612
CCc1c(C)nnnc1CCCN1C=CCc2ccccc2CC1=O,-9.6
CCC1=C(C)NCC=C1CN(C)N1C=CCc2ccccc2CCC1,-9.579
CCC1C=C(NCCN2CCCc3ccccc3CC2=O)CNC1=O,-9.568
CCC1C(=O)NNC=C1CC(C)N1C=CCc2ccccc2CC1=O,-9.548
