,SMILES,QED,Proxy
sample0,COC(=O)c1ccc2nc(-c3ccnc(OCCc4c[nH]c5cccc(OC)c45)c3C#N)oc2c1,0.342,-9.345
sample1,N[C@@H](C(=O)Nc1cc(SCCNc2ccc3nnccc3c2)c(F)cc1C(=O)Cl)c1cccc(O)c1,0.140,-9.416
sample2,Cc1cc(N(C[C@@H]2CCCCS2)[C@@H](C)c2cnnn2C)c(C(=O)N([C@H]2CCO[C@H](C)C2)S(=O)(=O)N(C)C)cn1,0.442,-8.167
sample3,Cc1c(Sc2cc(Cl)ccc2C(N)=O)c(COc2ccc([C@H](C)CN)cc2)nn1C,0.540,-8.689
sample4,CC[C@H](O)CN(C[C@@H](C)CCOC)C(=O)c1ccncc1Sc1ncc(C)cc1F,0.576,-7.664
sample5,C#C[C@@H]1C[C@@]1(C(=O)O)N1C(NC[C@@H](C)CN[C@@H](C)c2sccc2C)=N[C@@H](C#N)c2ccccc21,0.502,-8.424
sample6,Nc1cc(Cl)c(NCc2ccc(Sc3ccccc3NCCO)cc2N)cc1N,0.296,-8.750
sample7,Cc1ccc(C(=O)Nc2nc(C)c(Cl)cc2Cl)c(NC(=O)NCc2cc(F)cc(Cl)c2)c1,0.384,-9.260
sample8,CCc1nc(Cl)c(NC(=O)Nc2cccc(-c3ccnc(C)n3)c2)c(Sc2c(N)ccc(N)c2C)n1,0.186,-9.496
sample9,CC(C)(NCc1ccc(O)c(Nc2c(O)cc(F)cc2F)c1)c1ccccc1,0.444,-9.104
sample10,Cc1ccc(O)cc1NC(=O)Nc1c(O)ccc(Sc2ccc(NC(N)=O)c(F)c2)c1F,0.299,-9.115
sample11,COc1ccc2oc(-c3c(Cl)ccc(C)c3NC(=O)C(=O)Nc3c(F)ccc(C#N)c3F)nc2c1,0.375,-9.657
sample12,Cc1cccc(NC(N)=O)c1Sc1cnc(NC(=O)NCc2cc(F)c(O)c(F)c2)c(CO)n1,0.296,-8.995
sample13,Cc1cc(NC(=O)N[C@@H]2CCc3cnoc3C2)nc(S(=O)(=O)c2cccc([C@H](N)CO)c2F)c1,0.409,-9.348
sample14,Cc1c(NC(=O)N2CC[C@H]([C@@H](O)C(=O)O)C2)cc(N)cc1Sc1ccc(C(=O)NN)cc1,0.164,-8.780
sample15,COc1nc(S(=O)(=O)c2ncc3[nH]ccc3n2)c(C=CS(=O)(=O)c2ccc(O)c(F)c2)n1C,0.382,-8.875
sample16,CN=c1nc(Oc2ccc(NC(=O)N(Cc3cnn(C)c3Cl)C[C@@H](C)O)c(S)c2)c(Br)c[nH]1,0.332,-8.334
sample17,CCc1nc(Cl)c(NC(=O)[C@H](C)CN2CCCCC2)c(S(=O)(=O)c2ncc3ccccc3n2)n1,0.385,-9.166
sample18,CC[C@@H]1CN(Cc2ccns2)CC[C@@H]1N(C(=O)N1CCCCC[C@@H]1C(N)=O)C(C)(CS(=O)(=O)CC(N)=O)C(=O)O,0.326,-7.734
sample19,COc1cc(C)c(NCc2cccc(O)c2OC)cc1NCc1ccc(CCCO)cc1,0.343,-8.683
sample20,Cc1cn2c(C(=O)N(C)C3C(=O)CCCC3N[C@@H]3C[C@H]3c3cc(F)ccc3F)cccc2n1,0.642,-9.666
sample21,COC(=O)C1SCCC1(NC(=O)Nc1cncc2nc[nH]c12)Nc1cn2c(Br)cccc2n1,0.175,-8.605
sample22,CCN(Cc1c(Cl)cccc1Oc1nc(Cl)nc(Cl)c1N)c1cnc(O)c(Cl)c1,0.354,-8.534
sample23,Cc1nc(O[C@@H]2CC[C@H]2n2cc(C3CCCC3)nn2)ccc1Cc1noc(-c2cc(-c3cncnc3)c[nH]2)n1,0.303,-9.861
