,SMILES,QED,Proxy
sample0,COc1cc(C)c2c(n1)CCCN2C(=O)[C@H]1C[C@@H](Oc2nccc(C=O)c2C#N)C1,0.703,-9.022
sample1,CC1=CC[C@@H](C(=O)Nc2ccc(F)c(C)c2OCc2ccc(=O)n(C)c2)CC1,0.790,-8.729
sample2,Cc1cc(Oc2cccc(N([C@@H]3CNOC3)[C@H]3CCC[C@@H]3C)c2C#N)c(C(=O)O)cn1,0.726,-9.022
sample3,C[C@@H]1[C@@H](C)CCC[C@@H]1N(C(=O)c1cnn(C)n1)c1ncnc2c1CCCCC2,0.761,-8.361
sample4,Cc1[nH]nc(C#N)c1NC(=O)c1ccncc1N(C)C1CCC2(CC1)COC2,0.844,-8.248
sample5,C#C[C@@H]1C[C@]1(Nc1ccccc1[C@@H](N)C#N)C(=O)NCc1coc(CC)n1,0.647,-8.164
sample6,C[C@H](N)c1ccc(-c2cc(CN3C[C@@H]4C(N(C)C)[C@H]4C3)c(F)cc2F)nc1,0.876,-9.015
sample7,C[C@@H](NC(=O)C1(C(N)=O)CC1)c1cccnc1Oc1cccc(C(=O)N(C)C)c1F,0.674,-8.686
sample8,C[C@H]1CN(CC(=O)Nc2ccc(CN3CCC(=O)N4CCC[C@@H]34)c(C(F)(F)F)c2)CCO1,0.741,-8.981
sample9,CC(c1nccnc1Cl)N(C(=O)[C@@]12CCC[C@H]1CNC2)c1ccc(N)c(N)c1,0.680,-8.793
sample10,CCc1ccc(N(C(=O)[C@@H]2CNC[C@@H]2C)[C@@H](C)c2ccncc2)cn1,0.910,-8.083
sample11,CC[C@H]1CCC[C@@]1(NC(C)[C@@H]1CCCOC1)C(=O)Nc1c(F)ccc(C#N)c1F,0.746,-8.683
sample12,C[C@@H]([C@@H]1CCCOC1)N(C(=O)c1cnc(Cl)s1)c1cc(CN)cs1,0.850,-7.547
sample13,Cc1ccc(CN(C2CCCc3c(C)noc32)[C@H]2C[C@@H](C(=O)O)C2)o1,0.892,-8.309
sample14,CCN(Cc1ccc(C)cc1)C(=O)[C@H](C)N(c1cc([C@@H](N)CO)ccc1OC)[C@@H]1C[C@@H](C)[C@H]1C,0.545,-8.670
sample15,Cn1nnnc1C(=O)N(C[C@H]1CCOCO1)c1ncc2[nH]ccc2n1,0.695,-7.962
sample16,COc1ccc(N(c2nc(C)c(CN)s2)[C@H]2CC[C@@H](C)[C@@H](C)C2)nn1,0.875,-7.950
sample17,CCc1nc(Cl)c(NC(=O)[C@H]2CCN(C(=O)c3cc(C)nc(O)c3)C2)c(Cl)n1,0.731,-8.520
sample18,CC[C@@H]1CC[C@@H]1N(CC[C@H]1CCCN(C(=O)[C@@H]2CC(=O)O2)C1)c1ccc(C(=O)O)cn1,0.634,-8.616
sample19,COc1cc(C)c(NCc2cccc(O)c2OC)cc1N[C@@H](CSC)C(=O)O,0.475,-7.634
sample20,CN(C1=CCCCC1=O)c1[nH]cnc1CCNc1nc[nH]c2nccc1-2,0.630,-8.302
sample21,C[n+]1ccccc1N1CCN2C(=O)N(C(C)(C(=O)O)c3c[nH]c4nccc-4c3)C(=O)[C@@H]2C1,0.463,-8.737
sample22,C[C@H]1CCCC[C@H]1CNC(=O)[C@H]1C[C@H](N(C[C@H]2C[C@@H]2C)C(=O)c2cncn(C)c2=O)C1,0.724,-8.463
sample23,Cc1nc(N2C[C@@H](F)C[C@@H]2[C@@H](C)Oc2cc3ccnc-3[nH]n2)ccc1CC#N,0.732,-8.776
sample24,CC[C@H]1CC[C@H](C)N1CC(=O)N(CC)Cc1ccc(F)cc1,0.804,-7.679
sample25,CN(C(=O)c1cc(F)ccc1N1CCC[C@@](C)(O)C1)C(C1CC1)C1CC1,0.875,-8.071
sample26,Cc1ccc2c(c1)N(c1cccc(CCNC[C@H](N)C3CCC3)c1)C[C@H](C)O2,0.709,-8.943
sample27,CCn1cc(C(=O)N(c2cscc2B(O)O)[C@H](C(=O)O)[C@H](C)CCF)cn1,0.538,-7.655
sample28,Cc1ncc(NC(=O)[C@@]2(C)CCN(c3c[nH]nc3C=O)C2)cc1Br,0.781,-7.951
sample29,C[C@H](NC(=O)C1CC(N2CCNC(=O)[C@@H]2C)C1)c1ccnc(Cl)c1,0.807,-8.005
sample30,Cc1cc(COc2cc3nc(CN[C@@H]4C[C@@H](N)C4(C)C)oc3c(C)n2)sn1,0.670,-8.495
sample31,CN(Cc1cocn1)c1cc(Cl)cc2oc([C@H]3C[C@@H]3C#N)nc12,0.726,-7.980
sample32,N#Cc1cc(Cl)c(Oc2cnc3c(c2)NC(=O)CN3)cc1F,0.889,-8.349
sample33,O=C(Nc1cccc(CF)c1)N1CCC[C@@H]([C@@H]2CCOC2)C1,0.929,-8.118
sample34,COc1nc(C)nc(N(c2cc(C)ccc2C#N)[C@@H]2C=CS(=O)(=O)C2)c1F,0.794,-8.396
sample35,Cc1ccc(C(=O)N(C)[C@H](C(=O)N2Cc3nccc(Cl)c3C2)C2CCC2)c(Cl)n1,0.687,-8.782
sample36,N[C@@H]1CCC[C@H]1C(=O)Nc1cc(F)ccc1NC(=O)[C@@]12CCC[C@H]1CNC2,0.650,-8.750
sample37,C[C@@H]([C@H]1Cc2ccccc2O1)N(C(=O)C1=NOCC1)c1ccc(C(=O)O)nn1,0.837,-8.855
sample38,C[C@]1(OCc2ccc(NC[C@@H]3OCC[C@H]3C(=O)O)nc2N)Cc2cccc(Cl)c21,0.635,-8.583
sample39,O=c1[nH]cc(NCc2cc(N3CC(C4COC4)C3)ncc2F)nc1Cl,0.838,-8.231
sample40,C[C@@H](NC(=O)c1ccc(N(C)C(=O)[C@H]2CCO2)cc1)c1ccnnc1,0.896,-8.287
sample41,CC(C)n1cc(N(C(=O)C2(C#N)CCC2)C2(C(=O)O)C[C@@H](C)CC[C@@H]2C)cn1,0.830,-7.891
sample42,CCn1cncc1Nc1cncc(N2CC[C@@](F)(C(=O)N[C@@]34CCC[C@@H]3C4)C2)n1,0.776,-8.611
sample43,CCN(C)C(=O)[C@]12CC[C@H]1CN(c1cncc(C#N)c1)C2,0.846,-7.634
sample44,CN(Cc1ccnnc1)c1ccc(NC(=O)[C@@H]2O[C@H]2c2ccncc2)c(C(=O)O)c1,0.575,-8.818
sample45,CO[C@@H]1CCC[C@@H]1CNC(=O)[C@H](NCc1cccc(F)c1)C1CCC1,0.759,-8.338
sample46,Cc1ncc(N2CCC[C@H]2C(=O)Nc2c(C)noc2C)cc1N,0.901,-7.852
sample47,CCNC(=O)c1nc(N[C@H](CC)CC2CC2)sc1Oc1ncnc(C(=O)O)c1F,0.531,-8.066
sample48,O=C1CCN(C(=O)c2cc[nH]c2Oc2nc(Cl)nc(Cl)n2)[C@@H]2CCCN12,0.851,-8.177
sample49,C[C@@H]1[C@H](c2ccccc2)N1C(=O)c1cnc(N(C[C@H]2CNC(=O)C2)C2CC2)cc1N,0.720,-9.060
sample50,Cc1cnoc1C(=O)N(CCOc1nnccc1N)[C@@H]1CCCOC1,0.824,-7.661
sample51,Cc1c[nH]cc1COc1ncccc1[C@H](C)NC(=O)[C@@H](F)C1CC1,0.818,-7.758
sample52,CC(=O)n1c([C@@H](C)[C@@H](C)C(=O)NC[C@H](F)c2ccccc2)nc2ncccc21,0.706,-8.658
sample53,COC1CC(COc2c(F)cccc2COc2cnc(N)c(Cl)c2C#N)C1,0.773,-8.420
sample54,Cc1cnnc(N(CCN(C)CC2COC2)c2cnn(C3CNC3)c2)c1,0.751,-7.774
sample55,CCOc1cccc(N2CCC[C@@]3(C[C@@H](Oc4cn(CC)nn4)CCO3)C2)n1,0.754,-8.269
sample56,CN1C[C@H]2CN(c3csc(C(=O)n4c(=O)[nH]c5csnc5c4=O)c3)CC[C@H]21,0.687,-8.190
sample57,C=CC[C@@H](C)N(c1c(O[C@@H](C(C)C)C2(CN)CC2)c(=O)ccn1C)[C@H](C(=O)O)C1CC1,0.494,-8.121
sample58,CC[C@H](C)[C@@H](NC(=O)C(C)=C1CC1)C(=O)N[C@H](CC#N)c1ccccc1,0.703,-8.367
sample59,CC(=O)C(=CNCc1cc(C)cc(C)n1)C(C)N1CCN2C(=O)NCC[C@H]2C1,0.730,-8.500
sample60,CCOC(=O)C(C)(Cl)OC(C)(C)[C@H]1CCN1c1cncc2c1CCN2,0.616,-7.502
sample61,CCCC(=O)N1[C@H](C)CN(c2onc(C)c2C)[C@H](C)[C@H]1C,0.860,-7.355
sample62,Cc1cc(F)cc(-c2ccc(F)c(N[C@H]3C[C@]3(C)C(N)=O)c2)n1,0.911,-8.811
sample63,C[C@@H]1C[C@H](C(=O)N[C@H](C)c2ccco2)CCN1C(=O)c1cnsn1,0.915,-7.644
sample64,COC(=O)C1(CN(C(=O)c2ccc(OCC3CC4(CC4)C3)s2)[C@@H](C)CC2CC2)CC1,0.495,-8.374
sample65,Cc1c(F)ccc(NC(=O)[C@H]2N=C(N[C@H]3CCC[C@@](C)(O)C3)N3CCCC[C@H]23)c1C,0.707,-8.829
sample66,CC[C@]1(C)C[C@]12COCCN2C(C)c1cncc(C(C)Nc2cc(C)cc(=O)n2C)c1,0.753,-8.430
sample67,CC(C)(NC(=O)Cc1cscn1)c1cccnc1,0.917,-6.802
sample68,Cc1cnc(N(c2ncccc2C)[C@H]2C[C@]2(C)C(N)=O)c(C)n1,0.935,-8.048
sample69,O=C(C1=NOCC1)N(c1ncc(Sc2cc3n(n2)CCC3)cn1)C1COC1,0.764,-8.339
sample70,CCC(c1cc(F)ccc1Oc1cccc(=O)n1C)N1CC[C@@]2(CCOC2)C1,0.782,-8.669
sample71,COC(=O)[C@@]1(N(Cc2ccc(CN)cc2)Cc2cc(F)ccc2N)CCSC1,0.546,-8.787
sample72,Cc1cc(NC(=O)[C@H]2CCN[C@H]2C)cc(NCCN(C)C(=O)c2ccc(N)cc2)n1,0.520,-8.684
sample73,CC[C@H](O)c1ccc(N(C[C@H]2CCC[C@H]2OC)C(=O)c2nnnn2C)nc1,0.783,-7.846
sample74,CC(C)(O)c1ccc(NC(=O)NC(C)(C)c2cc(C3CC3)no2)cc1,0.770,-8.258
sample75,CC1(O)CN(C2CN(Cc3ccnc(N4CCc5c(I)cccc54)c3F)C2)C1,0.663,-8.811
sample76,CC[C@@H]1C[C@@H]1CC(=O)Nc1ccc([C@@H]2C[C@H]2C)cc1,0.842,-7.737
sample77,CC(C)N(c1nc(F)ccc1Nc1cnn(CC#N)c1)C1CCC1,0.823,-7.752
sample78,COc1n[nH]c(N(C(=O)[C@@H]2CCSC2)c2cn(C3CCC3)cn2)n1,0.891,-7.501
sample79,CC[C@@H]1CC[C@H]1N(c1cc(C#N)cnc1C)[C@@H]1CCOC1,0.853,-7.582
sample80,C[C@@H](NC(=O)[C@@H]1[C@@H](C)CCCN1c1cc(F)cc(C(N)=O)c1)c1ccncc1,0.830,-8.723
sample81,CN1CC[C@H]2[C@H](CCN2c2cc(CNc3cccc(C#N)c3F)cc(C(=O)O)c2)C1,0.788,-9.092
sample82,CCN(Cc1ccnn1C)C(=O)c1cc(F)ccc1N1C[C@H]2COC[C@H]2C1,0.808,-8.344
sample83,Cc1ccncc1-c1ccc(C#N)c(N(C2CC(C)C2)[C@@H]2COC(C)(C)C2)n1,0.786,-8.457
sample84,Cc1cc(N[C@H]2C[C@@H](C(=O)NC[C@@H]3C[C@H]3c3ccco3)C2)cnc1C,0.846,-8.272
sample85,C[C@@H]1CC[C@@H](C)C1N(C)c1cncc(N2c3ccccc3C[C@@H]2C)n1,0.830,-8.290
sample86,CN(C(=O)[C@@H]1C[C@H]1F)C1CC(Oc2nncc(Nc3cc4ccnc-4[nH]n3)c2N)C1,0.557,-8.780
