,SMILES,QED,Proxy
sample0,Cc1ncc(Br)cc1CNc1nccc(-c2nc3c(F)cccc3o2)c1C#N,0.484,-9.148
sample1,Cc1nc2ccc(N[C@H](c3cccc(O)c3)c3nc(-c4cccc5nc[nH]c45)no3)cc2c(=O)o1,0.338,-10.182
sample2,COC(=O)CC[C@H]1C(=O)N([C@H]2CCCC[C@@H]2C(F)(F)F)C(=O)N1C(=O)c1cnc(C)cc1Br,0.419,-8.762
sample3,CCn1nccc1Sc1cc(C#N)c(NC(=O)Nc2cnc3nccnc3c2)cc1F,0.486,-8.856
sample4,Cc1[nH]nc(C#N)c1NC(=O)c1ccncc1N(C)CCN[C@@H]1CCc2c(Cl)cccc21,0.508,-8.673
sample5,Cc1c(COc2c[nH]c3cncnc23)nn(C)c1Sc1ccccc1[C@@H](N)C#N,0.505,-8.319
sample6,Cc1nc(C#N)ccc1NC(=O)Nc1ccnc(S(=O)(=O)c2ccccc2NCCO)c1F,0.410,-8.771
sample7,Cc1ccc(NC(=O)C(=O)Nc2cccc(C3CCC3)n2)c(C(=O)n2c(=O)[nH]c3cc(Cl)c(Cl)nc3c2=O)c1,0.251,-9.474
sample8,COc1cc(NC(=O)C(=O)Nc2c(C)c(F)cc3cccnc23)c(S(=O)(=O)c2ccc(C=O)cc2N)cc1C,0.186,-9.898
sample9,Cc1cc(NC(=O)c2ccc(CNC(=O)Nc3c(O)cc(F)cc3F)cc2)c(C#N)cc1F,0.423,-9.529
sample10,Cc1cc(C#N)c(Nc2c(N)nc(O)nc2O)cc1Sc1ccc(NC(N)=O)c(F)c1,0.346,-8.852
sample11,CC[C@H](c1nc(-c2ccc(F)c(NC(=O)Nc3cnc4ncccc4c3)c2F)no1)N(C)C,0.439,-9.298
sample12,N[C@H]1COc2cc(Sc3cnc(NC(=O)N4Cc5cnnn5Cc5ccccc54)c(CO)n3)ccc2C1,0.373,-9.534
sample13,Cc1ccnc(C(=O)NCCc2n[nH]cc2Nc2ccc3c(c2)CCC3(F)F)n1,0.592,-9.260
sample14,Cc1nc2cc(Oc3ccc(Sc4ccc(C(=O)NN)cc4)nc3)ccc2o1,0.300,-9.085
sample15,CC[C@@H](F)C(=O)N(c1cnc(Oc2ncc3[nH]ccc3n2)c(C)c1)C(C)(C(=O)O)c1ccc(Cl)nc1C,0.310,-9.102
sample16,Cc1nn2cc(S(=O)(=O)c3cc(Br)ccc3NC(=O)Nc3cnc4cc(Cl)cnc4c3)nc2s1,0.309,-9.157
sample17,CCc1nc(Cl)c(NC(=O)C(=O)N[C@H](C)c2coc3ccccc23)c(Nc2ccc3nc(C4CCC4)[nH]c3c2)n1,0.139,-9.430
sample18,CC[C@@H]1CN(Cc2ccns2)CC[C@@H]1N(C(=O)Nc1ccc(C(=O)O)nc1)c1ccc(C(=O)O)cn1,0.412,-8.536
sample19,COc1cc(C)c(NC(=O)Nc2c(OC)ccc(Br)c2F)cc1Nc1cc(Cl)c(N)c(Cl)c1,0.240,-8.898
sample20,CN(C1=CCCCC1=O)c1[nH]cnc1CCNc1cc(N)c2cc[nH]c2n1,0.534,-8.536
sample21,O=C(NCc1ccc(-c2nc3ccc(Cl)nc3s2)cc1)Nc1cn2c(Br)cccc2n1,0.300,-9.254
sample22,CCNCc1c(O)cccc1Oc1cc(SCc2ccc(N)cc2)cc(F)c1C(C)=O,0.231,-9.048
sample23,Cc1nc(Cl)ccc1Cc1noc(Cc2ccc(Nc3ccc4[nH]ncc4c3)cc2F)n1,0.339,-9.939
sample24,Cc1n[nH]cc1-c1cccnc1Oc1ccnc(O)c1-c1noc(-c2coc3c(F)cc(F)cc23)n1,0.326,-10.111
sample25,CN(C(=O)c1cc(F)ccc1-c1ccnc(Cl)c1Br)C(C1CC1)C1CC1,0.573,-8.344
sample26,Cc1ccc2c(c1)N(C1CN(Cc3cnc(S(=O)(=O)c4cc(O)c(N)cc4Br)nc3)C1)C[C@H](C)O2,0.275,-9.325
sample27,CN(C)C(=O)c1cccc(Nc2ncccc2S(=O)(=O)c2cscc2B(O)O)n1,0.480,-8.236
