,SMILES,QED,Proxy
sample0,C[C@H]1Cc2ccccc2[C@@H]1NC(=O)[C@H]1CN(c2ccc3c(c2)OCO3)[C@H]1C,0.908,-9.193
sample1,CC(Nc1ccc(C#N)c(F)c1)[C@@H](NC(=O)[C@H]1CN[C@H]1C)c1ccc(F)cc1,0.715,-9.215
sample2,Cc1nc(C)c(CNC(=O)C2C(N3Cc4ccccc4[C@H]3C(=O)CCl)CCCN2C)[nH]1,0.670,-8.879
sample3,CC[C@H]1[C@H](C(=O)N[C@@H]2Cc3cccnc3C2)CCN1C(=O)c1ccc(F)cc1,0.886,-9.164
sample4,C[C@H]1CCC[C@@H](C(=O)N[C@H]2Cc3ccccc32)N1c1ccc(C#N)c(F)c1,0.901,-9.165
sample5,C[C@@H]1CCc2ccccc2[C@@H]1N(c1ccc(F)nn1)[C@H]1C[C@]1(C)C(N)=O,0.916,-9.019
sample6,Cc1n[nH]c(C)c1N(c1cc(C(N)=O)co1)[C@@H]1CN[C@H](C(=O)O)C1,0.631,-7.824
sample7,CC[C@@H]1CCCC[C@@H]1C(=O)NC[C@@H]1C[C@H]1c1nc(-c2c[nH]c(C(=O)OC)c2)no1,0.690,-8.388
sample8,CO[C@H](CNc1cc(=O)n(C)cc1F)CC(=O)NCC(C1CC1)C1CC1,0.664,-7.881
sample9,C[C@@H]1CCCC[C@H]1NC(=O)C(=O)N1CC(c2ccc(Oc3cccc(F)c3F)cc2)C1,0.736,-9.430
sample10,CN(CC=CNc1ccc2c(c1)CNC2)C1CC(NC(=O)c2c[nH]nc2Cl)C1,0.573,-8.643
sample11,Cc1cnc(C(N[C@H]2CC[C@@H]2C(N)=O)C(C)C(=O)NCc2ccccc2)o1,0.657,-8.581
sample12,C[C@H]1C[C@@](Nc2ccc3c(c2)C2(CC2)CNC3)(C(=O)N2CCCc3ccccc3C2)CCO1,0.745,-9.899
sample13,CC(=O)Nc1c(F)cc(N2CCC[C@@H](c3ccncn3)C2)cc1C=O,0.865,-8.528
sample14,COc1cccc(CC(CNCC2(C(=O)O)CC2)Nc2c(C)ccnc2F)c1,0.544,-8.517
sample15,C[C@@H](O)[C@@H](NCc1c(F)ccnc1F)C(=O)N1CCc2ccc(Cl)cc2C1,0.763,-8.618
sample16,CC1=C(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)N(CCF)[C@H]2CCC[C@@H]3C[C@@H]32)[C@@H](C)C1=O,0.694,-8.770
sample17,Cc1cc2oc([C@@H](NC3CCc4ccc5c(c43)CCO5)[C@H](F)C(=O)O)nc2cc1Cl,0.621,-9.414
sample18,CC[C@@H]1CCC[C@H]1C(=O)N([C@H]1CCOC2(CCC2)C1)C(C)(C(=O)O)c1ccccc1F,0.697,-8.934
sample19,CN(C)C12CC(c3nc(Cc4ccc(C(=O)NCc5ccc(C#N)nc5)cc4)no3)(C1)C2,0.616,-9.393
sample20,COc1ccnc(N([C@H]2C[C@@H](OCc3cc(F)ccc3C#N)C2)[C@H](C)[C@]2(C)CCCO2)c1C,0.565,-8.898
sample21,CO[C@H]1C[C@](NC(=O)c2ccc(F)cc2)(C(=O)NC2Cc3ccccc3C2)C1,0.834,-9.313
sample22,Cc1ccc([C@@](C)(O)CNCc2ccc(C(=O)Nc3cccc4c3CC4)[nH]2)o1,0.507,-8.953
sample23,Cc1nc(Cl)cc(N)c1OC1=CC(=O)O[C@@H]1Oc1nc(C(F)(F)F)co1,0.625,-8.306
sample24,C[C@@H](Nc1cc(N)cc(F)c1)c1ccc(C(=O)NCC2(C(=O)O)CC2)cc1,0.560,-8.912
sample25,C[C@H]1[C@@H](C(=O)N[C@@H]2CCc3ccc(F)cc3C2)CN1c1ccc2c(c1F)CCNC2,0.816,-9.721
sample26,Cc1cc(=O)c(Oc2cc(F)ccc2C(=O)N2C[C@H]3CN(C)C(=O)[C@H]3C2)c(C)[nH]1,0.857,-9.062
sample27,COC(=O)c1cc(N(c2c(N)cccc2F)[C@H]2CO[C@H]3[C@@H]2OC[C@@H]3N)c(C#N)[nH]1,0.510,-8.925
sample28,CCc1cccc(F)c1C(=O)N1Cc2ccc(N3C[C@H](C(=O)O)[C@@H](C)C3)cc2C2(CC2)C1,0.779,-9.274
sample29,Cc1c(NCC2(C(=O)NC3Cc4ccccc4C3)CC2)ccc2c1CNC2,0.767,-9.369
sample30,Cc1cc(C)cc(NC(=O)[C@H]2CN(c3cccc(C)n3)[C@H]2C)c1,0.944,-8.551
sample31,C[C@H]1[C@@H](C(=O)N2Cc3ccc(O)cc3C2)CN1Cc1ccc2c(c1)COC2,0.910,-9.246
sample32,CC[C@@H]1C[C@H](Oc2cccc3c2CN(c2c(C)n[nH]c2C)C3)CCN1,0.895,-8.595
sample33,Cc1cccc([C@H]2C[C@H](Nc3ccc4c(c3)N(C(=O)[C@H]3CN[C@H]3C)CC4)C2)c1,0.853,-9.360
sample34,C[C@@H]([C@@H]1CC1(F)F)N(C(=O)C[C@@H]1CCCNC1)c1cncc2[nH]ccc12,0.858,-8.531
sample35,CCN[C@@H](C)c1ccnc(N[C@H]2CCCCCC2N(Cc2ccc(C)s2)C[C@H]2COCO2)c1,0.469,-8.538
sample36,Cc1cccc(C2(CNC(=O)[C@H]3CCC[C@H]3NC(=O)Cc3occc3C)CC2)c1,0.754,-8.905
sample37,CC1=C(NC(=O)[C@H]2C[C@@H]2C(=O)N2CCc3cc(F)ccc32)[C@@H](C)C1=O,0.913,-8.778
sample38,CO[C@H]1C[C@](NC(=O)c2ccc(N3Cc4cccc(F)c4C3)c(C)c2)(C(=O)O)C1,0.810,-9.182
sample39,CCn1ccc(C(=O)N(c2nccc(C(N)=O)n2)[C@H]2CC(=O)c3cc4c(cc32)OCO4)c1,0.652,-9.289
sample40,CC[C@@H](CC(=O)N1Cc2cccc(Cl)c2C1)NC(=O)N1Cc2ccc(C(=O)O)cc2C1,0.738,-9.269
sample41,CC1=C(NC(=O)c2n[nH]c(C)n2)[C@@H](C)C1Nc1cc(C)ccc1F,0.805,-8.699
sample42,CCO[C@@H]1[C@H](C)[C@@H]1c1nc(CCn2cncn2)no1,0.775,-7.075
sample43,Cc1cc2oc([C@@H](Nc3ccc(F)nn3)[C@H](C)N)nc2cc1Br,0.722,-8.207
sample44,N#C[C@H]1CN(C(=O)CN(c2ccc3c(c2)OCO3)C2COC2)C[C@@H]1c1ccccc1F,0.736,-9.010
sample45,CCc1ccccc1CNc1ccc2c(c1)[C@H](NC(=O)[C@H]1CN[C@H]1C)CC2,0.735,-9.173
sample46,CC1(O)CC2(CN(c3ccnc(-c4cc(Br)ccc4F)n3)C2)C1,0.871,-8.480
sample47,C#Cc1ccc(N2CCN([C@H](CC)c3nc4c(F)cccc4o3)CC2)nn1,0.663,-8.560
sample48,Cc1c(CBr)cccc1Nc1c(F)ccc2oc([C@@H]3C[C@@H]3CN)nc12,0.589,-8.638
sample49,Cc1cc(F)nc(N(C(=O)[C@@H](N)C2CCCC2)c2cccc(CO)c2C)c1,0.788,-8.622
sample50,Cc1ccc(CN(C)CCNC(=O)[C@]2(F)CCN(c3c[nH]c4nccc-4c3)C2)cc1F,0.608,-9.127
