,SMILES,QED,Proxy
sample0,N#Cc1ccoc1OC[C@H]1[C@H]2C[C@@H]3[C@H]1CN(c1ccc4c(c1)C1(CC1)C(=O)N4)[C@H]3C2,0.846,-9.467
sample1,CN1C[C@@H]2C[C@@H]2[C@@H]1C(=O)N[C@H]1c2ccc(O[C@H]3Cc4ccccc43)cc2C[C@@H]1O,0.842,-9.390
sample2,Cc1cccc2c1C[C@H](C(=O)N[C@H]1CCC[C@H]3O[C@H](C)C[C@@H]13)N2C1CCc2ncccc2C1,0.772,-9.471
sample3,Cc1ccc(F)c2c1CCC2N(C(=O)C1[C@H]2CNC[C@@H]12)c1ccc(Cl)c(F)c1,0.824,-9.368
sample4,N[C@H]1COc2cc(OC[C@@]34C[C@H]3CN(Cc3ccc5c(c3)COC5)C4)ccc21,0.867,-9.413
sample5,O=C1CC(N(C(=O)[C@H]2C[C@@]2(F)Cl)[C@H]2C[C@H]2c2ccccc2)C2CC1C2,0.767,-8.735
sample6,Cc1cc(NC2COc3ccc(N4C[C@H]5C[C@@H](O)[C@@H]5C4)cc32)cnc1C#N,0.874,-8.716
sample7,O=C1C[C@]2(CCN(c3cccc4c3CN(C(=O)c3ccc5c(c3)CCC5=O)C4)C2)CN1,0.819,-9.949
sample8,C[C@H]1CCC(NC23CC(C(=O)N4CCc5cc(C=O)ccc5C4)(C2)C3)CN1,0.800,-9.297
sample9,CO[C@H]1CC(C([C@H]2CCCc3ccccc32)N2Cc3ccccc3C2)C(=O)N1,0.887,-9.345
sample10,Fc1cccc2c1CN(C1CCN(C3CCC4(CC3)N=N4)C3(CCC3)C1)CC2,0.744,-9.415
sample11,O=C1Cc2nc(O[C@@H]3COc4c(cccc4O[C@@H]4C[C@H]5CNC[C@H]54)C3)ccc2N1,0.826,-9.212
sample12,Cn1nccc1[C@@H]1C[C@H]1NCc1ccc2c(c1)CCN(C(=O)C13CC(N)(C1)C3)C2,0.815,-9.252
