,SMILES
0,CCNc1nc(N(O)(O)Cl)nn1CCC=CN.N=C(N)NO.N=CS.OCNCC=CCCCC1=CC1
1,CCC.CCCN.N#C=[SH]CCCN(O)(O)OCO.OC=C=CCO.OCCO
2,CC#CC=C(C#CN)C1CN1OCCO.N=C(N)NO.O=C(CC(O)NCCl)NNCO
3,CC.CSC(=NCO)NC(=O)N(C)C.N=C1CC1.NCN.OCC#CC#CCC(O)CO
4,C=C(OC)N(C=CCC)NCC(=CCl)CCl.CCCO.CNC.OCC(O)CC=CC1=CNO1
5,C.CCCCCC(=O)C=CCNC#N.N=C(N)NCC=O.OCCCCCCCl
6,CC#CC=NCN1(C(N)NC)C(C)N1=CN.COCC(O)O.OC#CNO.OC1CO1.SC(Cl)=NCl
7,C.C=C(C)O.CC=C(CN)OCC(=O)ONC=CCCNC=N.NCOCCCO.O
8,C#N.CC1CN1.CCC#CNC(CCO)=NC(=O)NCCO.NC(CCO)NN=Cc1ccc(O)cc1
9,CC1C2=C1N2C#CCCN(NCCO)C(CO)=C(O)Cl.CONC=CNCC(O)=CCOO.NC(N)N
10,CSCO.NC1C2OCCC(CC=CC=C(Cl)C=CCCO)C12.O.OCCCCCCNN=CNCO
11,C.C=CC(CCCCC(O)O)CP(=O)(O)O.CCNCC(ONC#N)Oc1snc(CO)c=1CC.NC=CCO
12,C=C(=CC#N)C1N=C(C#N)NN1.CCC#N.CCO.NC=CCCNC(N)N
13,CC(O)O.NC#CC(CCC1(OO)CC1)=NO.OCCCC#CCNCCO
14,CC(C#CC1CC1N(CC(N)N)C(C)C#N)=NC=N.CN(C#N)CCN=CC=CN1CO1.NO1NN1
15,CC1CC1.CSON1C(SC2CC2C(O)C(C)O)[SH]1C#N.OCC=CCCOCC(O)O
16,C=CC#CC(CSC1SClS1)OC.CCCNCCNC.CCO.O
17,N=CNOP(=O)(O)O.NC(CCO)NO.cnC(=CCS)NN(CCC)C(C)C=CCSC(C)O
18,CC#CC(C#N)CC=C=CCN(O)C(O)=CCl.CC(O)C=CCCN=C(O)CO.CC=CCO
19,CC(C)O.CNN(C)=O.NC=NC(SCCC=O)C1NCCO1.O=P1(O)COS1
20,N.N.N#CCCSN(Cl)C1=NC(Cl)NC(N)=N1.NCO.OCC1OC1O.OCCOCNO
21,C1C2CC12.CCCNC(N)CO.CCCl.CCNCN.NCCCSCNC(N)=O
22,C=COC=CN.CC#CNC(=CCO)[SH]=C(CC)NC(N)NO.NC=O.OCCCCl
23,CC(S)N1(C)NC1CN[SH](C)(=O)CCCC(C)(O)O.CCN(O)C#CC=NCC#CCO.CCNCO
24,C1CC1.CCCCNO.CO.NCSC=C(CO)C(=O)NCC(O)CO.OCCCO
25,CCC(C#CC#N)CC1=CN(C2CC2)NC1=CCC(C)C.NCC(CO)OCCC(O)O.OCNOCO
26,CC(N)CCC#CC1=C(N2CN(C)CC2Cl)Ccc(C2CC2)s1.COC1CC1#COO.NC(=O)NCCO
27,CCCOCC=C(CC)CCCl.N1C2OC12.NCS.OCCCC=CCCNOO
28,O.OC=C=C(Cl)CN(NC1CC1)C(O)Cl.OOCNCON#CCC1OO1
29,C=CCCC(N)C#CC(CCC=N)C(=C)O.NCNNCO.OCC=NCCOO
30,CC(C)O.CCNC(NNN[SH](C)(=O)NC=N)C(C)C.O=C(NCCCCCO)C1CO1
