,SMILES,QED,Proxy
sample0,CCn1nc(Oc2ncnc(Oc3nccc(C=O)c3C#N)n2)nc1C,0.598,-8.293
sample1,Cn1nnnc1C(=O)Nc1cccc(Oc2[nH]nnc2C#N)c1C(=O)O,0.560,-8.321
sample2,COc1cnc2ccc(Nc3cc(C)ncc3C(=O)N[C@H]3[C@H](C#N)C=NN3C)cc2c1,0.658,-9.034
sample3,Cn1cnnc1CN(Cc1cccnc1)C(=O)[C@@H](N)CF,0.811,-7.217
sample4,Cc1ccc2c(=O)n(C(=O)c3ccsn3)c(=O)n(C(C)(C(=O)O)c3nnn(C)c3C)c2n1,0.457,-8.692
sample5,C#C[C@@H]1C[C@]1(Nc1ccccc1[C@@H](N)C#N)C(=O)NCc1sccc1CC,0.646,-8.015
sample6,Cc1cccc2c(=O)n(C(=O)c3ccc(O[C@@H]4C[C@@H](C(C)C)N[C@@H]4C)cc3)c(=O)[nH]c12,0.676,-9.375
sample7,NC(=O)C1(C(=O)Nc2c(N)c(N)c(N)c(N)c2NC(=O)C2(F)CC(F)C2)CC1,0.267,-8.559
sample8,CCc1nc(Cl)c(NC(=O)CCC2(C)CC2)c(Oc2ccccc2O)n1,0.684,-8.381
sample9,Cc1nn[nH]c1C(=O)N1C[C@H](C(=O)Nc2ccc3snnc3c2)[C@@H]1C,0.728,-8.298
sample10,COCn1ccc(C(=O)N(Cc2nnnn2C)C2(C(=O)O)CCC[C@@H]3CC[C@@H]2O3)n1,0.667,-8.316
sample11,Cc1cn(C2(C(=O)O)CN(C)C[C@@H]2C)c(C(=O)Nc2c(F)ccc(C#N)c2F)n1,0.807,-8.574
sample12,C[C@@](N)(C(=O)OCc1nc(N[C@H](CC2CC2)C(=O)O)cnc1N)c1ccco1,0.458,-7.981
sample13,Cc1cc(Cl)nc(N(C(=O)[C@@H]2C[C@H]2C)c2c[nH]nc2CCN)c1,0.823,-7.798
sample14,COc1ccc([C@H](CO)NC(=O)[C@@H]2C[C@@H](C)CNC2=O)cc1Nc1nc(C)c(C)nc1Cl,0.466,-8.745
sample15,Cn1nnnc1C(=O)N1[C@@H](COc2ncc3[nH]ccc3n2)COC1(C)C,0.698,-7.955
sample16,Cc1nc(N(C(=O)[C@@H]2CCC(=O)NC2)c2cn(C(C)C)nn2)cnc1N,0.823,-7.940
sample17,CCc1nc(Cl)c(Nc2c[nH]nc2CC#N)c(Oc2nccc(C#N)n2)n1,0.614,-8.193
sample18,Cc1nc(CO)n(C2(C(=O)Nc3nccnc3Cl)CCOC[C@@H]2C#N)c1C,0.806,-7.836
sample19,COc1cc(C)c(Nc2cnn(CCC#N)c2)cc1N[C@@H](CSC)C(=O)O,0.568,-7.434
sample20,C[C@@H]1C(=O)C(=O)CC1(C(=O)N(CCC#N)Cc1ccon1)n1cc(C(N)=O)cn1,0.625,-8.134
sample21,N#Cc1nn[nH]c1N(C(=O)c1cnnc(O)c1)c1cnnc(O)c1N,0.465,-8.061
sample22,NC(=O)c1csc(Oc2nc(Cl)nc(Cl)c2NC(=O)c2cnsn2)n1,0.474,-7.718
sample23,CCc1nnc(Oc2c(C)nc(Oc3ccc(CC#N)c(C)n3)nc2C)o1,0.646,-8.687
sample24,CCn1cc(N(c2cccc(O)n2)c2nc(C(=O)O)c(C)o2)nn1,0.719,-7.893
sample25,CN(c1nc(NC(=O)c2nnnn2C)c(Cl)nc1Cl)C(C1CC1)C1CC1,0.797,-7.865
sample26,COC(=O)c1ncc(Oc2ccnnc2C(=O)Nc2onc(C)c2C)cc1F,0.656,-8.587
sample27,C[C@@H](N)[C@@H](N)C(=O)Nc1cncc(NC(=O)[C@H](N)Cc2cccc(S)c2)n1,0.360,-8.121
sample28,CCc1nnc(COc2ccc(F)c(C(=O)Nc3cn(CC)nn3)c2F)o1,0.672,-8.711
sample29,Cc1cc(C)nc(N(Cc2nnnn2C)C(=O)[C@H]2C[C@@H](O)C2)n1,0.839,-7.680
sample30,CN1C[C@@H](COc2nc(N(C)[C@@H](CO)C(=O)O)cc(N)c2N)OC1=O,0.474,-7.200
sample31,CCNC(=O)N(Cc1cc(F)ccc1N)c1cnc(O)n1C,0.747,-7.668
sample32,Cn1cnnc1C(C)(C(=O)O)n1nnc(C(N)=O)c1C(N)=O,0.538,-7.405
sample33,C[C@H](C(=O)N(c1cccc(CF)c1)C(C)(C(=O)O)c1nncn1C)n1ccnc1,0.651,-8.301
sample34,CCn1cc(N(C(C)=O)C2(C(=O)O)CC(=O)N(C)[C@H]2C)nn1,0.819,-6.988
sample35,CCCn1cc(Oc2ccc(NC(=O)[C@H]3COC(=O)N3)ccc2=O)cn1,0.809,-8.316
sample36,N#CCCn1cc(N(C(=O)C2(C#N)CCCC2)c2cccc(C=O)n2)cn1,0.730,-8.113
sample37,Cc1nnn(C)c1N(c1cnnc(Cl)c1N)[C@H]1C[C@]1(C)C(N)=O,0.834,-7.685
sample38,Nc1nc(Nc2ncc(O)cc2C(=O)O)ccc1CN1CCNc2ccncc21,0.436,-8.572
sample39,Cn1nnnc1C(=O)N(c1cnn(CCC#N)c1)[C@@H](Cc1cnc[nH]1)C(N)=O,0.486,-7.922
sample40,Cn1nnnc1C(=O)N(Cc1ncc(Cl)s1)c1ccc(CNC=O)cc1,0.610,-8.243
sample41,CC(C)n1cc(N(C(=O)c2nnnn2C)c2cc(C=O)n(C)n2)cn1,0.620,-7.809
sample42,CCn1cncc1N(C(=O)[C@H]1CN=CN1)C(CC)(C(=O)O)c1ccccc1,0.773,-8.086
sample43,Cc1cc(Nc2ccc(Oc3cnn(CC#N)c3)c(C)c2)n(C)n1,0.779,-8.046
sample44,CO[C@@H]1C[C@@H](N(CC#N)C(=O)c2cc(Nc3cc(C(F)(F)F)no3)ccc2N)C1(C)C,0.521,-8.890
sample45,Cc1nc(NC(=O)[C@@H]2CN(C(=O)c3ccc(Cl)cc3F)[C@@H]2C)cc(N(C)C)n1,0.846,-8.426
sample46,CCc1cnoc1N(C(=O)[C@@H]1C(=O)NCC1(C)C)C1(C(=O)O)CN(C)C[C@@H]1C,0.710,-7.701
sample47,CCNC(=O)c1nc(N(C(=O)c2nnc(C(C)C)s2)c2cn(C)cc(Cl)c2=O)sc1Cl,0.550,-8.118
sample48,CN1C[C@@H](Oc2[nH]ccc2C(=O)Nc2[nH]c(=N)[nH]c3ncnc2-3)CNC1=O,0.369,-8.167
sample49,COC(=O)c1cnc(N(C(=O)[C@@H](C#N)C(C)C)c2cncc(N)n2)cc1N,0.739,-7.956
sample50,CC(=O)C(CC(C)C)C(C)(C(=O)O)N(c1cnn(C)c1N)[C@H](C)CCc1ccccc1,0.562,-8.105
sample51,C[C@@H]1N(C)C(=O)CC1(C(=O)O)n1c(=O)n(C(=O)c2ccsn2)c(=O)c2cscc21,0.631,-7.966
sample52,Cn1nnnc1CNC(=O)[C@@H]1C[C@]1(F)N[C@@H]1CCCC[C@@H]1O,0.627,-7.622
sample53,Cc1nc(Oc2ncc(NC(=O)[C@@H]3C[C@H](C)N3)n2C)ccc1C#N,0.881,-7.893
sample54,CCC(C)(C)C(=O)N(c1c[nH]c(=O)cn1)C1(C(=O)O)CCCCC1=O,0.777,-7.796
sample55,COC(=O)c1cnc(NC(=O)c2cc(N)c(O[C@@](C)(C(=O)O)c3ccccc3)cc2C)cn1,0.364,-9.041
sample56,CC1=C(Oc2ncc(Oc3csc(C(N)=O)c3)cc2C)[C@H](C)OC1=O,0.823,-8.196
sample57,CCc1cccnc1N(C(=O)c1nnnn1C)C(CC#N)c1ccc(N)cc1,0.652,-8.539
sample58,CC[C@H](C)[C@H](C(=O)OC)N(C(=O)c1nnnn1C)C(C)c1ccnc(C)n1,0.661,-7.674
sample59,N[C@@H](CC1CC1)C(=O)Nc1cccnc1NC(=O)Cc1cccc(C(F)F)n1,0.643,-8.545
sample60,CS(=O)(=O)C[C@H]1CCCCN1C(=O)c1cn(CCN2C(=O)N[C@@H]3CC[S@](=O)[C@H]3C2=O)nn1,0.524,-8.239
sample61,COc1ccc(Oc2cc(C(=O)Nc3ncc(C)nc3C)[nH]n2)nn1,0.717,-8.055
sample62,CCc1nc(Cl)c(NC(=O)[C@H](C)C2(N)CC2)c(OCc2nnnn2C)n1,0.675,-8.006
sample63,COc1ccc(C(=O)N2CC[C@@H](C(=O)NC3CC(N(C)C(C)=O)C3)C[C@H]2C)s1,0.811,-8.036
sample64,CC[C@@H](NC(=O)c1ccc(N)cc1N[C@](C)(C(=O)O)c1ccco1)C(=O)N1CCCC1,0.474,-8.436
sample65,CCc1oncc1NC(=O)c1nsnc1OCc1ccnnc1,0.725,-7.586
sample66,CN1C(=O)C(Cl)=C(N(c2c[nH]c(=O)cn2)c2cc(C(N)=O)ncn2)C1=O,0.661,-8.151
sample67,Cn1nnnc1CN(C(=O)c1cnnc(O)c1)c1cc(N)cc(C#N)c1N,0.512,-8.703
sample68,Cc1cnc(NC(=O)C[C@@H](C)N(C)C(C)(C(=O)O)c2ccn(C)n2)c(C)n1,0.754,-7.641
sample69,CC(C)[C@@H](C(=O)N(c1cc2n(n1)CCC2)c1cc(C(F)(F)F)c(F)cc1O)[C@@H](C)N,0.706,-8.949
sample70,O=C(CSCc1cccnc1)n1c(=O)[nH]c2nccnc2c1=O,0.739,-7.716
sample71,Cc1oc(N(C)[C@@H](C)c2ccco2)nc1C(=O)N[C@@H]1CCC[C@@H]2NC(=O)CC[C@H]21,0.800,-8.157
sample72,N#CCCn1cc(Nc2cnnc(OCC(=O)c3ccccc3F)c2N)cn1,0.568,-8.520
sample73,Cn1nnnc1C(=O)Nc1ccc(NC(=O)C2(CN)CC2)n1C,0.679,-7.659
sample74,CC1(C)OCC(C(=O)O)(N2CC[C@@H](C(=O)Nc3nonc3CO)C2=O)CO1,0.534,-7.682
sample75,Cc1cnnc(O[C@@H](C)CN2CC[C@@H](CNC(=O)c3cnc(CN)cn3)C2)c1,0.676,-8.183
sample76,CCc1oncc1N(Cc1nccn1C)Cn1cnc(Cl)n1,0.690,-7.151
sample77,COc1nonc1NC(Oc1[nH]nnc1C#N)=C1N=NN=N1,0.742,-7.483
sample78,CCNC(=O)N(Cc1ccn(C)c1)c1nc(OC)n[nH]1,0.850,-6.915
sample79,Cc1nc(N(C(=O)C(N)=O)c2ccc(N)c(O)c2)cnc1N,0.339,-7.778
sample80,Cn1nnnc1C(=O)Nc1c(NC(=O)[C@@H]2C[C@H]2C#N)cnnc1Cl,0.784,-7.875
sample81,Cc1ccn(C[C@H](C)N(C(=O)C(N)=O)c2cc(CN)cc(C(=O)O)c2)n1,0.631,-8.167
sample82,CCN(Cc1ccnn1C)C(=O)C[C@@H](C)NC(=O)c1nnnn1C,0.731,-7.311
sample83,CCc1nn(C)c(CC)c1Nc1ccc(C#N)c(O[C@@H](C)c2ncnn2C)n1,0.671,-8.117
sample84,CCn1cc(C(=O)N[C@H]2C[C@@H](C(=O)N[C@H](C)c3ccn(C)n3)C2)cn1,0.818,-7.902
sample85,Cc1cn(CCN(C(=O)c2nnnn2C)c2occc2C(=O)O)nn1,0.638,-7.721
sample86,COc1cnc(CN(C(=O)[C@@H]2CSC(=O)N2)c2cnnc(Cl)c2N)nc1,0.755,-7.942
sample87,CCc1[nH]c(C#N)cc1CN(C(=O)c1cnsn1)c1cnc(O)n1C,0.714,-7.626
sample88,Cc1nsnc1CN(C(=O)C(N)=O)c1cc(CO)ncc1Br,0.739,-7.220
sample89,O=Cc1cccc(N(C(=O)[C@H](O)C2CC2)c2ccc(CF)nc2)n1,0.821,-8.053
sample90,CN1c2c(ncn2C)C(=O)NC1c1ncsc1CNc1cnn(C)c1N,0.615,-7.492
sample91,Cc1cc([C@H](C)N(C(=O)C2=NC[C@H](C)O2)c2cnn(CCC#N)c2)ccc1C#N,0.754,-8.337
