SMILES,DS
CC1CCCC(C)N(C)NNCC(=O)CC(=O)Cc2ccccc21,-10.343
CC1=CC=C2NC=C(O)NCC3=CC(C)C=C3CCC2C1,-10.324
COC1=CC=CC2C=C1CC(C)CN1CC1c1ccccc1CC2,-10.217
CCC1=CSOC2C=C1CC(C)C(=O)CCc1ccccc1CC2,-10.079
CC1CCCCCN(C)NN(C)N(Cl)CC(=O)Cc2ccccc21,-10.014
COC1=CC=CC2C=C1CC(C)CN1OC1c1ccccc1CC2,-9.94
COC1=CC=CC2C=C1CC(C)CNCCc1ccccc1CC2,-9.93
CC1CC(=O)CCC(=O)NCC=CCSCc2cccc1c2,-9.882
COC(=CF)C1=CC(=O)CCc2ccccc2CCC(=O)C(C)C1,-9.828
CC1=CC=C2NC3C(=O)NNCN(Cl)CC(=O)CCCC3COC12,-9.787
CC1=NC(=O)NCC=CC2=CCCCCC2CCC(C)C1,-9.743
COC1=CC=CN2C=C1CC(C)C(=O)OCc1ccccc1CC2,-9.68
CC1=CSCC(C)NCCCCC2=CC(C)N(C)CC2C1,-9.669
CC1CCC[N+](=O)C(=O)CN(C)N(Cl)CC(=O)CC2=CC=COC21,-9.659
COC1C2=CC(=NC1C)CCc1ccccc1CCCCC(C)C2,-9.635
CC1CCCN(C)N(C)NNN(C)NCC(=O)Cc2ccccc21,-9.619
COC1C2=CC(CCc3ccccc3CC(=O)CC(C)C2)CC1C,-9.577
CN=CC=CC1=C(C)C2=C(Cl)CC=CC=C2CCC(=O)C1,-9.553
CC1NCC(=O)Cc2ccccc2[O+](C)CCCCCN(C)NN1,-9.546
COC1=CC=CC2C=C1CC(C)NC(=O)Cc1ccccc1CC2,-9.542
C[N+]1=CC=C2NC=CCNCC3=CCCCC3CCC2C1,-9.538
CC1CCC(=O)NCCCC(=O)Nc2ccc(cc2)C(C)C1,-9.536
COC1=CC=CC2C=C1CC(C)CCCCc1ccccc1CC2,-9.512
COC1C2=CC(=CC1C)CCc1ccccc1CC(=O)NC(C)C2,-9.499
CC1=C2CC=CC(O)NCCCCC(C)CC2=CC1C,-9.496
