,SMILES,QED,Proxy
sample0,Cc1nsnc1C(=O)N[C@@H]1C[C@H](COc2ccnc3occc23)[C@@H](O)[C@H]1O,0.586,-8.201
sample1,CC[C@H](N)CC(=O)Nc1ccc(F)cc1CO[C@H]1[C@H](N)[C@H](O)OC[C@H]1O,0.448,-7.979
sample2,CNC(=O)[C@@H](CNC(=O)c1ccc(O)nn1)Oc1cccc(C#N)c1F,0.666,-8.286
sample3,N#CCc1cccc(OC[C@H]2C[C@@H](NC(=O)c3cccnc3O)[C@H](O)[C@@H]2O)c1,0.578,-8.382
sample4,O=C1N[C@H](C(=O)NC2=C(Oc3ccccc3F)C(O)=C(CO)C2)CO1,0.625,-8.345
sample5,CN(c1cnc2c(NC(=O)c3cnnc(O)c3)nccc2c1)[C@H](CN)C(=O)O,0.462,-8.140
sample6,N#C[C@H](NC(=O)[C@@H]1NC(=O)CNC1=O)c1cccc(F)c1,0.628,-7.799
sample7,CC(C(=O)O)(c1ccccc1C#N)N1C(=O)N[C@@H](Oc2ccnc3occc23)C1=O,0.612,-8.973
sample8,CCCc1ccccc1C(=O)N[C@H]1[C@H](Oc2cnc(O)c(Cl)c2)[C@H](O)CO[C@H]1O,0.558,-8.446
sample9,C#Cc1ccc(OC2=C(NC(=O)[C@@H]3C[C@H]3CN)CC(CO)=C2O)cn1,0.562,-8.248
sample10,N#Cc1cccc(O[C@H]2[C@H](N)CS(=O)(=O)[C@@H]2Br)c1F,0.802,-7.399
sample11,Cn1ncc(C(=O)N[C@@H]2C[C@H](COc3ccccc3F)[C@@H](O)[C@H]2O)c1F,0.720,-8.349
sample12,N#CCc1cccc(O[C@H]2[C@H](NC(=O)c3ccc(O)nn3)[C@H](O)OC[C@H]2O)c1,0.532,-8.354
sample13,Cc1ccc2c(c1)[C@H](NC(=O)[C@@H]1NC(=O)CNC1=O)[C@H](C)C2,0.670,-8.229
sample14,NC(=O)[C@H]1C[C@@H](Oc2c[nH]c3cccnc23)CN1C(=O)[C@@H]1COC(=O)N1,0.673,-8.278
sample15,Cc1ccc(Oc2nc(C(=O)N[C@H]3C[C@@H](O)[C@@H](O)C3)n[nH]2)c(C)c1,0.658,-8.197
sample16,COc1nc(C(=O)N2C[C@@H](Oc3cccc(CC#N)c3)C[C@H]2CN)co1,0.831,-8.315
sample17,Cc1ccc2c(c1)[C@H](NC(=O)[C@@H]1NC(=O)CNC1=O)[C@H](C)C2,0.670,-8.229
sample18,N#CCc1cccc(O[C@H]2[C@H](N)[C@H](O)OC[C@H]2O)c1,0.681,-7.181
sample19,NC[C@@H]1C[C@H]1C(=O)Nc1nsnc1-c1nnc(-c2ccnc(O)c2)o1,0.602,-8.093
sample20,N#Cc1cc(N[C@@H]2C[C@H](O)[C@H](Oc3ccc(F)nn3)C2)ncn1,0.845,-7.814
sample21,Cc1coc(C(=O)Nc2cc(C#N)n(C)c2N[C@H]2CCONC2=O)n1,0.742,-7.841
sample22,Cn1ncc(OC[C@H]2C[C@@H](N)[C@H](Oc3ccc(C#N)nn3)[C@@H]2O)c1C#N,0.720,-7.969
sample23,CO[C@@H](C)C(=O)N(C[C@@H](C)N1C(=O)N[C@H]2CC[C@H]2C1=O)C(C)(C(=O)O)c1ccc2cccnc2c1,0.590,-8.856
sample24,Cc1cnn(C)c1O[C@@H]1CN[C@H](CNC(=O)c2cccnc2Cl)C1,0.796,-7.807
sample25,CC(C(=O)O)(c1ccccc1C#N)N1C(=O)NC(=O)[C@@H]1Oc1ccnc(C#N)c1F,0.698,-8.881
sample26,CC(=O)c1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.683,-7.348
sample27,COc1nc(C(=O)N[C@@H]2C[C@H](COc3ccc(C)nc3C#N)[C@@H](O)[C@H]2O)co1,0.629,-8.188
sample28,O=C(O)c1cccc(C(=O)N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1,0.496,-7.584
sample29,C[C@H]1CNC[C@H]1C(=O)Nc1c(Oc2ccc(F)nn2)c(=O)c1=O,0.750,-8.028
sample30,CC(C(=O)O)(c1ccccc1C#N)N1CC[C@](C)(N)C1=O,0.855,-7.671
sample31,Cn1nc(OC2=C(N)CC(COc3ccc(F)nn3)=C2O)cc1F,0.847,-8.242
sample32,CC(C(=O)O)(c1ccccc1C#N)N1CC[C@](C)(N)C1=O,0.855,-7.671
sample33,Cc1ncc(O)cc1N(C(=O)c1cnn(C)c1F)[C@H]1C[C@@H](O)[C@@H](O)C1,0.743,-7.681
sample34,N[C@H]1[C@H](OCc2cccnn2)[C@H](Oc2cncc(F)n2)CO[C@H]1O,0.736,-7.596
sample35,C[C@]1(Nc2ccnc(Oc3ccc4nn[nH]c4c3)n2)CCNC1=O,0.660,-8.502
sample36,O=C(O)c1nonc1C(=O)N[C@@H]1C[C@H](COc2ccccc2F)[C@@H](O)[C@H]1O,0.533,-8.371
sample37,CN(N)C1=NCCN1C(C)(C(=O)O)c1ccccc1C#N,0.613,-7.424
sample38,Cc1ccc(C(=O)N[C@H]2[C@H](Oc3nc(=O)n(C)[nH]3)[C@H](O)CO[C@H]2O)cc1,0.527,-8.098
sample39,CN(N)C1=NCCN1C(C)(C(=O)O)c1ccccc1C#N,0.613,-7.424
sample40,Cn1ncc(C#N)c1O[C@H]1[C@H](NC(=O)[C@@H]2C=Cc3ccccc32)[C@H](O)OC[C@H]1O,0.665,-8.557
sample41,N#CCc1cccc(O[C@H]2[C@H](NC(=O)[C@@H]3CCc4ccnn43)[C@H](O)OC[C@H]2O)c1,0.650,-8.606
sample42,Cn1ncc(C(=O)N2C[C@@H](Oc3cccc(CC#N)c3)C[C@H]2CN)c1F,0.868,-8.469
sample43,C=CCn1nc(C)cc(C(=O)N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1=O,0.493,-7.677
sample44,Cc1ccc2c(c1)[C@H](NC(=O)[C@@H]1NC(=O)CNC1=O)[C@H](C)C2,0.670,-8.229
sample45,CN(C(=O)[C@@H]1NC(=O)CNC1=O)c1ccccc1F,0.701,-7.226
sample46,CC(C(=O)O)(c1ccccc1C#N)N1C(=O)NC(=O)[C@@H]1Oc1cccc(F)c1C(N)=O,0.581,-9.089
sample47,CN(N)C1=NCCN1C(C)(C(=O)O)c1ccccc1C#N,0.613,-7.424
sample48,Cn1ncc(C#N)c1OC[C@H]1C[C@@H](NC(=O)[C@@H]2C=Cc3ccccc32)[C@H](O)[C@@H]1O,0.687,-8.588
sample49,N#Cc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1F,0.723,-7.335
sample50,Cc1ccc2c(c1)[C@H](NC(=O)[C@@H]1NCCNC1=O)[C@H](C)C2,0.691,-8.082
sample51,N#Cc1cccc(CC(=O)NC2=C(Oc3[nH]nnc3C#N)C(O)=C(CO)C2)c1,0.569,-8.737
sample52,CC[C@@H](O)[C@H](C(=O)O)N(C(=O)Cc1cccc(C#N)c1)c1ccn(CCC#N)n1,0.654,-8.158
sample53,CN(C(=O)[C@H]1C(=O)NCCN1C(=O)[C@@H]1C=Cc2ccccc21)c1nnccc1C#N,0.745,-8.831
sample54,O[C@@H]1CN[C@H](CNc2ccnc(Oc3ccc(F)nn3)n2)C1,0.726,-7.810
sample55,C[C@]1(N(C(=O)[C@H]2CC[C@H]2C(N)=O)c2cccc(NC3CC3)n2)CCNC1=O,0.683,-8.424
sample56,N#C[C@H]1[C@H](NC(=O)c2ccnnc2)NCN1c1nccc(F)c1N,0.694,-7.934
sample57,Cn1[nH]c(O[C@@H]2CO[C@@H](O)[C@@H](N)[C@@H]2OCc2ncccc2F)nc1=O,0.599,-7.706
sample58,N#CCc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.720,-7.272
sample59,N#CCc1cccc(O[C@H]2[C@H](N)[C@H](O)OC[C@H]2O)c1,0.681,-7.181
sample60,N[C@H]1[C@H](Oc2c[nH]c3cccnc23)[C@H](O)CO[C@H]1O,0.573,-7.027
sample61,O=C(N[C@H]1[C@H](Oc2ccnc3occc23)[C@H](O)CO[C@H]1O)c1ccnnc1,0.571,-8.192
sample62,N#CCc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.720,-7.272
sample63,Cc1cccc(NC(=O)[C@@H]2C[C@@H](NC(=O)c3nn(C)cc3Cl)CO2)n1,0.853,-8.140
sample64,CC(C(=O)O)(c1ccccc1C#N)N1C(=O)NC(=O)[C@@H]1Oc1cccc(CC#N)c1,0.700,-9.001
sample65,Cn1ncc(F)c1O[C@@H]1C[C@H](N)C[C@@H]1Oc1ccc(F)nn1,0.899,-7.797
sample66,Cn1[nH]c(=N)c(Cl)c1C(=O)N[C@@H]1C[C@H](O)[C@H](Oc2cnn3ccccc23)C1,0.527,-8.444
sample67,Cc1nc(C(=O)N[C@H](COc2ncn(CCl)n2)CC(F)F)c(C)o1,0.720,-7.497
sample68,N#CCc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.720,-7.272
sample69,N#Cc1cc(F)c(F)cc1NC(=O)[C@@H](N)CC[C@@H](N)CF,0.733,-7.855
sample70,N#Cc1cccc(CO[C@H]2[C@H](NC(=O)c3ccnnc3)[C@H](O)OC[C@H]2O)c1,0.655,-8.378
sample71,CC(C(=O)O)(c1ccccc1C#N)N1CN[C@@H](N)[C@@H]1C#N,0.707,-7.612
sample72,N#Cc1cc(F)cc(N(C(=O)c2nonc2C(=O)O)C2=C(N)C(=O)OC2)c1,0.702,-8.561
sample73,CN(C(=O)C1(NC(=O)c2[nH]ncc2C#N)CCOCC1)c1nnccc1C#N,0.742,-8.105
sample74,N#CCc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.720,-7.272
sample75,CN(N)C1=NCCN1C(C)(C(=O)O)c1ccccc1C#N,0.613,-7.424
sample76,Cn1ncc(O[C@H]2C[C@@H](CN)N(C(C)(C(=O)O)c3ccccc3C#N)C2)c1F,0.765,-8.471
sample77,CCNc1cc(C)cc(C(=O)N[C@@H](CF)CC[C@H](N)C(=O)O)c1,0.553,-7.801
sample78,N#CCc1cccc(OC[C@H]2C[C@@H](N)[C@H](O)[C@@H]2O)c1,0.720,-7.272
sample79,C[C@H](O)[C@@H](N)C(=O)Nc1c(-c2ccnn2C)ccc(C(=O)O)c1Cl,0.637,-7.786
sample80,Cn1ncc(O[C@H]2[C@H](NC(=O)[C@@H]3C=Cc4ccccc43)[C@H](O)OC[C@H]2O)c1C#N,0.665,-8.553
sample81,N#Cc1ccc(F)cc1O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](N)C(=O)O,0.410,-7.147
sample82,N#CCc1cccc(O[C@H]2[C@H](N)[C@H](O)OC[C@H]2O)c1,0.681,-7.181
sample83,CC(=O)[C@@H](N)C(=O)N[C@@H]1C[C@H](O)[C@H](Oc2ccc(C#N)cc2F)C1,0.650,-8.112
sample84,N[C@H]1[C@H](Oc2[nH]nc3ncccc23)[C@H](Oc2ccc(F)nn2)CO[C@H]1O,0.573,-8.274
sample85,O=C(N[C@H]1[C@H](O)[C@H](O)CO[C@H]1O)[C@@H]1COc2ccccc21,0.541,-7.333
sample86,CCCc1ccccc1C(=O)N[C@H]1[C@H](Oc2ccc(Cl)c([SH](=O)=O)c2)[C@H](O)CO[C@H]1O,0.453,-8.634
