SMILES,DS,CP,1-EI,MB,R
CCc1ccc(C)cc1NC(=O)C1NOCNS1,-7.766,0.9888830780982971,0.9870145179564968,0.8635952380952381,-6.546001660591807
CCc1ccc(C)cc1NCCNC(=O)C(O)NC(C)=O,-7.481,0.9792222380638123,0.9902616262809251,0.9005238095238096,-6.532600086914778
CC1CNCC(C)C(=O)NC(C)C(=O)NCc2ccccc2C1,-10.028,0.9734208583831787,0.9416127055533783,0.7096825396825396,-6.523060457749125
CCc1ccc(O)cc1CCCNC(=O)C(N)O,-7.03,0.9981452226638794,0.9901435786625714,0.9323888888888887,-6.478050395931258
CCC1C(=O)C=NN=C1CC(=O)C(=O)NC1CC1c1ccccc1,-7.885,0.9940908551216125,0.9581303030550764,0.8520873015873016,-6.399358571625216
Cc1ccccc1NC(=O)C1CC1CNC(=O)C(C)O,-7.318,0.9902861714363098,0.9904745046366096,0.890952380952381,-6.395152621659145
CCc1ccc(C)cc1NCCNC(=O)C(Cl)NC(C)=O,-7.226,0.972862720489502,0.9787343738423403,0.9218015873015873,-6.34237347223713
CCC1C(=O)C=NN=C1CC(=O)C(=O)NC1CC1C1=CCCC=C1,-7.802,0.9896827936172485,0.9671239895141582,0.8479444444444444,-6.33215476528655
CCC1C(=O)C=NN=C1CC(=O)C(=O)NCCCc1ccccc1,-7.692,0.9789958000183105,0.9727956499603401,0.8450079365079365,-6.190169086459512
COC1C(=O)C=NN=C1CC(=O)C(=O)NC1CC1c1ccccc1,-7.591,0.9960185885429382,0.9719665339299235,0.8366904761904762,-6.14868964399666
CCc1ccc(C)cc1NCCNC(=O)C(O)Cl,-6.992,0.984282910823822,0.9687985448902761,0.9216349206349207,-6.1448850645141055
COC1C(=O)C=NC=C1CC(=O)C(=O)NC1CC1c1ccccc1,-7.705,0.9942824840545654,0.9803551134514551,0.8155440115440116,-6.125100983396723
CCc1ccc(O)cc1NCCNC(=O)C(O)NC(C)=O,-7.046,0.9927219748497009,0.9894249913669635,0.8847777777777779,-6.123325646837406
Cc1ccccc1CC=NNC(F)CNC(=O)C(C)O,-7.211,0.9926970601081848,0.9871450330822805,0.8653095238095238,-6.114552519652157
Cc1ccccc1NC(=O)CC(C)CNC(=O)C(C)O,-7.374,0.9735254645347595,0.988778765446824,0.8611904761904762,-6.112921216560352
CCC1C(=O)C=NN=C1NC(=O)C(=O)NCCCc1ccccc1,-7.741,0.9660764336585999,0.9900390686902912,0.8252301587301588,-6.109926414197683
CCc1ccc(O)cc1CCCNC(=O)C(O)Cl,-6.775,0.991359531879425,0.9494474142140685,0.9557619047619048,-6.094823290355843
Cc1ccccc1CNC(=O)CC=C1CN(OC(=O)F)C1=O,-7.848,0.9869897961616516,0.949590081451416,0.8265396825396826,-6.079551419614427
CCc1ccc(O)cc1CC=CNC(=O)C(O)NC(C)=O,-7.301,0.9737599492073059,0.9729819351558956,0.8759523809523809,-6.059259199938601
CCCN(C)C(N)NC(=O)C(O)c1ccc(C)cc1,-6.72,0.988362729549408,0.9970735327593326,0.914174603174603,-6.0539938184086965
CCc1ccc(C)cc1NC(=O)C(O)NCCN,-6.766,0.9961087107658386,0.9819106383965526,0.9128571428571429,-6.041065087130086
COc1ccc(C)c(CC(=O)C(O)NCCN)c1,-6.684,0.9984972476959229,0.9751992981572891,0.9268809523809522,-6.032546118754864
CCCC(=O)C1(O)CNCCC(=O)Nc2ccc(C)cc21,-8.44,0.9977889060974121,0.9891144591785896,0.7223646125116713,-6.0170570684171265
Cc1ccccc1NC(=O)OC(C)CNC(=O)C(C)O,-7.26,0.9835934042930603,0.9664537958961402,0.8696746031746033,-6.001918756112365
COc1ccc(C)cc1NC(=O)C(O)CCCN,-6.396,0.9947391152381897,0.9876192118845989,0.9525873015873016,-5.9856589515534
CCc1ccc(C)cc1NCCNC(=O)C(Cl)NC=O,-6.885,0.9706648588180542,0.9672193405336532,0.9258015873015875,-5.984338412899292
