source_file,method,run,SMILES,DS,Method,Valid,In_Top100,QED,Veber,Lipinski,CP,MB,SA,Ghose,1-EI,KI_Tanimoto_Similarity,KI_ChemNet_Distance,R,DockingScoreProperty,CornealProperty,MelaninProperty,IrritationProperty,DockingScoreReward,CornealReward,MelaninReward,IrritationReward,Reward,Epoch,Proxy,tacogfn_pred
alidiff_1.csv,alidiff,1,CCC1=COC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C1=CCCCC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,OC1CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C=CCCCC=C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C=C(CC1CCC2=C1CCC2)C1C(=O)c2cccc3c2C2C1=C=CCC=C=C2C3c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,OC1CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,CN1CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,NC1=C2C(=CC=CC1)C=C1CCCC=CC1C2N,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,NC1=CCCC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,CC(=O)N1Cc2cccc(c2)CCN2CCC2C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C1=CC2CCCN2CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,OC=C1CCCC(O)C1O,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=C1C2=C=C(CCC1c1ccccc1)C1C=CC=c3ccc(cc31)=c1ccccc1=C2,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=CC1C=CCC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=C1CC2CCC(O)C2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C1=CCCCN2CC=CC=CC=12,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=C(C(O)CC1=CCC=CC1)N1CC2=CC=CC=CC2C2=COCC3=CCC=CC1=C32,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C=C(C)C(=O)CC1C=CC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,C1=CC=C2C=CSC=C2C=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,OC1C=CCC(N2CCCCC2)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,O=C1CCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,CC(=N)CCCc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alidiff_1.csv,alidiff,1,CCCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,
