,SMILES,QED,Proxy
sample0,CCn1cc(Cl)c(Sc2cc(CN(CCF)c3ccccc3OC(C)=O)n(C)n2)n1,0.356,-8.201
sample1,Cc1ccc(-c2noc(CNN=Cc3ncc[nH]3)n2)nc1N(c1cncnc1C=O)C1CCC1,0.217,-8.877
sample2,Cc1c(Nc2ncccc2-c2nnc(-c3nnc4cccnn34)o2)cccc1N1CCCC1,0.436,-9.423
sample3,Cc1ccc2c(N(C)c3c(CNCc4cccc(F)c4Br)ccnc3C)cnn2c1,0.417,-8.888
sample4,COc1cc(Cl)nc(Cl)c1CNc1c[nH]c(-c2nc3cc(Cl)cnc3o2)n1,0.451,-8.620
sample5,O=C(Nc1nccc2cc(NCCc3cccc(O)n3)cnc12)N(c1ncccc1Br)C1CSC1,0.302,-8.940
sample6,CC(C)[C@@H](CO)CNC(=O)CCNC(=O)c1cc(O)nc(Oc2nsc3nccnc23)c1,0.351,-8.179
sample7,O=Cc1ccc(Oc2cccc3nn[nH]c23)c(NC(=O)Nc2cccc3ccc(O)cc23)c1,0.283,-9.988
sample8,NC(=O)CCNc1ccc(Sc2nnc(S(=O)(=O)c3cc(F)c(O)cc3N)cc2F)cc1,0.354,-9.261
sample9,CCC(=O)Nc1cc(NC(=O)c2cc(NC(=O)c3[nH]c4nccc-4cc3Br)c(OC)cc2Br)ccc1C,0.194,-9.178
sample10,Cc1ccnc2cc(NC(=O)C(=O)Nc3ccc(F)c(F)c3Sc3ncc(F)c(O)n3)ccc12,0.293,-9.519
sample11,COc1c(O)cccc1-c1cccc2c1OC[C@@H](Oc1ccc3c(n1)CC(=O)N3)C2,0.693,-9.137
sample12,Nc1cc(CO)cc(Nc2ccnc(Sc3ccc(Br)c(C(=O)O)n3)c2O)c1,0.347,-8.558
sample13,O=C(Nc1cnc2cc(Sc3cccc4nn[nH]c34)ccc2c1)c1ccn(CCF)n1,0.419,-9.408
sample14,O=C(CC[C@@H](O)CNCC1CCC1)Nc1cc(C(=O)N[C@H]2COc3cc(Br)ccc3C2)c(F)cc1O,0.282,-9.176
sample15,CCN(C(=O)c1cc(Sc2cc(N)c(C)cc2O)ccc1C=O)c1ccc(Cl)cc1C(=O)O,0.237,-9.152
sample16,COc1ccc(Oc2ncc3ccc(Br)n3n2)c(NC(=O)[C@@H]2CCCO[C@@H]2C(C)C)c1,0.541,-8.687
sample17,Cc1cncc(C(=O)O)c1S(=O)(=O)c1ncnc(C)c1-c1noc([C@@H]2CCc3c[nH]nc32)n1,0.409,-9.295
sample18,Cc1ccc2c(NC(=O)C(=O)Nc3cc(F)cc(Cl)c3N[C@H]3Cc4ccccc4[C@@H]3O)csc2n1,0.288,-9.615
sample19,COc1ccccc1[C@H](Cl)c1noc(-c2nsnc2NC(=O)NC2(CNC(=O)[C@H]3C[C@H]3F)CC2)n1,0.364,-8.975
sample20,Cc1cc(C(=O)N(C)c2ccc(NC(=O)Nc3ccccc3C(F)(F)F)cc2F)c(C)[nH]1,0.447,-9.192
sample21,O=C(OCC(=CN[C@]1(C(=O)O)CC[C@@H]1CO)NCC(=O)c1ccccn1)C1=COCC1,0.286,-8.150
sample22,N#CC(=Cc1ccc(NC(=O)c2cc3occc3cc2F)c(Cl)c1)c1cnc(Cl)c(Cl)c1,0.243,-9.477
sample23,N#Cc1sc(NC(=O)c2ccc(Sc3cc4n(n3)CCC4)nc2)c(C#N)c1N,0.679,-8.588
sample24,CC(C)[C@@H](NC(=O)c1cncc(NC(=O)N(Cc2ccon2)[C@@H]2CSC[C@@H]2C)c1)c1cccs1,0.450,-8.411
sample25,C=C(C)c1ccc(-c2nc(CN3CCC(OC)CC3)no2)cc1N[C@H]1C[C@@H]2CC[C@H]1C2,0.679,-8.901
sample26,O=C(Nc1[nH]nc(-c2ccco2)c1F)N[C@H]1COc2cc(Oc3cc4ccccc4o3)ccc21,0.314,-9.788
sample27,O=C(Nc1ccc2[nH]cc(C(=O)n3c(=O)[nH]c4nonc4c3=O)c2c1)C(=O)Nc1[nH]cnc2ccnc1-2,0.205,-9.931
sample28,C#C[C@@H](C)Nc1snc(N(Cc2c[nH]nc2C)[C@@H](C)CC)c1-c1noc(-c2ccoc2Cl)n1,0.304,-8.179
sample29,C[C@H](c1nc(COc2ccc(Nc3cc4ccccc4oc3=O)cc2F)no1)n1cccn1,0.365,-9.608
sample30,C[C@@H]1[C@H](c2nc(C3(c4ccncc4)CCC3)no2)C(=Cc2ccnc(Cl)c2N)C(=O)N1c1ccccc1,0.290,-9.726
sample31,Oc1ccc(Br)c(F)c1NCc1ccc2cc(-c3nc(-c4cccc(F)c4)no3)[nH]c2c1,0.250,-9.957
sample32,Cc1cc(CN(C(=O)NC[C@H](c2ccccc2)C(C)C)[C@@]2(F)C[C@@H]2C(=O)Nc2nccn2C)c(C)n1C,0.413,-9.022
sample33,Cc1ncc(O)cc1N(c1ccc2ccoc2c1)C(C(=O)O)c1ccccc1Br,0.411,-8.665
sample34,Cc1ccc(NC(=O)Cc2ccc(O)c(F)c2F)c(F)c1OCCn1c(N)cnc1C,0.529,-8.914
sample35,Cc1c(OC[C@H](C)N(C)C(=O)N[C@H]2CCC[C@H]2C)ccc(=N)n1C1(C(=O)O)CC[C@@H](C(=O)N(C)C)[C@@H](C)C1,0.475,-7.967
sample36,N#Cc1cc(NC(=O)NCc2cc(NC(=O)Nc3cc(F)ccc3C(N)=O)ccc2O)n(-c2ccccc2)n1,0.199,-9.238
sample37,CCOC(=O)c1cccc(F)c1NC(=O)C(=O)N1Cc2ccccc2[C@H](c2nc3ccc(Br)nc3o2)C1,0.221,-9.603
sample38,CCc1nocc1CN(C(=O)C(=O)Nc1ccc(Br)nc1O)[C@@](C)(CNC(=O)N(C)c1ccc(C)c(NC)c1)C1CC1,0.187,-7.851
sample39,COc1cc(NC(=O)C(=O)Nc2nonc2C(=O)NN)cc(-c2noc(-c3cc4occc4cc3F)n2)n1,0.106,-9.659
sample40,Cc1cccnc1N(Cc1c(C)cccc1Cl)[C@@H](c1cncc(Cl)c1)C1CC1,0.459,-8.446
sample41,Cc1ccc2nc(S(=O)(=O)c3ncc(NC(=O)Nc4ccc5nc(C)ccc5c4)nc3N)nc(O)c2c1,0.258,-9.900
sample42,Cc1ccc2cc(C)nc(Oc3ccc(Oc4ccnc5[nH]ncc45)c(NS(C)(=O)=O)c3)c2c1,0.351,-9.857
sample43,CCc1ccc(OC)cc1NC(=O)C(=O)Nc1ccc(Cc2nc3ccc4cccnc4c3o2)cc1Br,0.252,-9.584
sample44,Cc1ncccc1CNC(=O)C(=O)N(Cc1c(O)cccc1Cl)c1cc(O)c(F)c(O)c1,0.435,-8.885
sample45,O=C(Nc1ccc(OCC[S@](=O)Cc2ccccn2)nc1)Nc1cccc2ncncc12,0.424,-8.734
sample46,CC[C@@](C)(CO)CN(Cc1ccc(F)cc1C)c1ccc2ccoc2c1,0.625,-8.426
sample47,O=[S@](O)c1ccccc1-c1noc(-c2cc3ccc(Sc4ccc5cccnc5n4)nc3[nH]2)n1,0.325,-9.899
sample48,Cc1cccnc1Sc1ncccc1OCC(=O)N[C@H](C)[C@H]1C[C@@H]1c1cccc(F)c1,0.550,-8.844
sample49,C[C@H](Cc1ccccc1F)N(C(=O)Nc1ccccc1C(F)(F)F)C(C(=O)O)(C(=O)Cl)c1c[nH]c2ccc(F)cc12,0.121,-9.655
