,SMILES,QED,Proxy
sample0,CCc1cccc(NC(=O)[C@H]2CN(C(=O)c3nc(C)oc3C)[C@H]2C)c1,0.928,-8.438
sample1,CN1CC[C@@H]1C(=O)N1CCO[C@H](c2ccc(NCc3cn(CC4CC4)nn3)s2)C1,0.744,-8.228
sample2,Cc1nc(C)c(CNC(=O)C2C(NC[C@H]3CC[C@H](C(F)(F)F)C3)CCCN2C)[nH]1,0.668,-8.525
sample3,C[C@@H]1CC[C@H](CNC(=O)Nc2cc(NCc3nccn(C)c3=O)c(N)cc2F)O1,0.545,-8.598
sample4,C[C@H](N[C@@H]1C[C@]1(C)C(N)=O)c1ncc(NC[C@H]2CCC(=O)N[C@H]2C)cn1,0.568,-8.047
sample5,Cc1cc2c(cc1Nc1[nH]nnc1C(=O)N1C[C@@H](C)[C@@H](C)[C@H]1C)OCO2,0.877,-8.363
sample6,Cc1ccc(C(C)N(c2c(C)n[nH]c2C)[C@@H]2CN[C@H](C(=O)O)C2)s1,0.774,-7.709
sample7,COC(=O)[C@H]1CC[C@H]1NC(=O)c1cc(-c2noc([C@@H]3C[C@H]3CN)n2)c[nH]1,0.649,-8.397
sample8,COc1nc(O)nc(N(CC(C2CC2)C2CC2)C(=O)C2CN(CCC(C)C)C2)n1,0.641,-8.060
sample9,C[C@@H]1CCCC[C@H]1NC(=O)C(=O)N[C@H]1C[C@@H]1c1ccn(C)n1,0.821,-7.605
sample10,Cc1noc(C)c1CCOC=CCN(C)C1CC(NC(=O)c2c[nH]nc2Cl)C1,0.490,-8.054
sample11,CC[C@@H]1CC[C@@H](C)N1C(C(C)C(=O)NCc1ccccc1)[C@H]1C[C@@]1(C)CC,0.698,-8.162
sample12,CNC(=O)c1ccnc(N[C@H]2C[C@H](C(C)(C)Oc3cc(C)nc(C(C)=O)c3)C2)c1,0.697,-8.651
sample13,O=Cc1cc(N2CCC[C@@H](c3ccncn3)C2)cc(F)c1NC(=O)[C@@H]1CSC(=O)S1,0.695,-8.578
sample14,COc1cncc(Oc2ncc(N3CCN4C(=O)OC(C)(C)[C@@H]4C3)cc2C)n1,0.793,-8.326
sample15,C[C@H](NC(=O)[C@@H]1CCOC[C@H]1C)c1cccc(NC(=O)c2ccc[n+](C)c2)c1,0.781,-8.526
sample16,CC1=C(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)N(CCF)[C@H]2CCC[C@@H]3C[C@@H]32)[C@@H](C)C1=O,0.694,-8.770
sample17,Cc1cc2oc([C@H]3NC(=O)N(C[C@H]4COC(=O)N4)C(=O)[C@H]3F)nc2cc1Cl,0.818,-8.540
sample18,CC[C@@H]1CCC[C@H]1C(=O)N([C@H]1CCOC2(CCC2)C1)C(C)(C(=O)O)c1c(C)cccc1O,0.662,-8.832
sample19,Cc1ccoc1CC(=O)NCC[C@]1(C)C[C@@]1(F)NCc1ccc(C#N)nc1,0.697,-8.259
sample20,COc1c(O)cccc1CN(C(=O)[C@H]1CNC(=O)C1)c1ccc(OC(C)=O)cc1,0.570,-8.510
sample21,CO[C@H]1C[C@](NC(=O)c2ccnc(CC#N)c2)(C(=O)NS(=O)(=O)c2ccc(C)o2)C1,0.653,-8.617
sample22,COC(=O)c1ccc(CN(C[C@](C)(O)c2ccc(C)o2)C(=O)C2(C#N)CCC2)[nH]1,0.691,-8.304
sample23,Cc1cncc(C(=O)Nc2cc(Cl)nc(C)c2OC2=CC(=O)O[C@@H]2O)n1,0.608,-8.124
sample24,CCn1ncc(N(Cc2ccnc(O)c2)C2CC3(C2)OCCO3)c1F,0.892,-7.864
sample25,CC[C@@]1(C(=O)N(c2cc(C)nc(F)c2)C(C)[C@H]2CCC2(C)C)CC[C@H](N)C1,0.766,-8.345
sample26,CC(=O)N1[C@@H](C)CN(C(C)c2c(C)cccc2Nc2cnc(C(=O)O)s2)C[C@@H]1C,0.769,-8.102
sample27,C[C@@H]1CCC[C@@H]1CNc1ccc(Nc2ncc(Cl)cn2)c(O)c1,0.707,-8.130
sample28,Cc1c(F)ccc(NC[C@H]2OCC2(C)C)c1NC(=O)C(F)(F)C1CCC1,0.783,-8.302
sample29,CN1CCOC[C@H]1CN(C(=O)[C@@H]1C=CCN1)c1cccc2nc[nH]c12,0.803,-8.202
sample30,Cc1cc(C)cc(NC(=O)c2cc(C)sn2)c1,0.883,-7.298
sample31,O=C([C@@H]1CO[C@H]2CCCC[C@@H]21)N(c1cccn(C2CCC2)c1=O)C1CC2(CCCCC2)C1,0.647,-8.861
sample32,CC[C@@H]1C[C@H](Oc2nnccc2C)CCN1c1c(C)n[nH]c1C,0.939,-7.629
sample33,CO[C@@H]1C[C@@H](C)N(c2ccc(C)nc2NC(=O)c2ccns2)C1,0.932,-7.654
sample34,CN(c1ccccc1O[C@H]1CCCCNC1=O)C1CC(=O)NC1(C)C,0.873,-8.056
sample35,CCN[C@@H](C)c1ccnc(N[C@H]2CCCCCC2N[C@@H]2CCCC[C@]2(C)C(=O)O)c1,0.467,-8.514
sample36,CC(C)(O)c1cc(N2CC(c3cccnn3)C2)ccn1,0.920,-7.580
sample37,CCO[C@@H]1C[C@@H](CC)N(c2nc(C)ncc2F)C1,0.825,-7.032
sample38,C[C@@H]1CCC[C@H]1N(C[C@@]1(O)CCCOC1)C(=O)c1cc(N(C)[C@@H]2CCC[C@H]2O)c[nH]1,0.659,-8.146
sample39,Cc1ncc(CN2CCN(Cc3noc(C4=C(N)CCC4)n3)CC2)cn1,0.858,-8.514
sample40,CC[C@H]1CN(C)[C@@H]1C(=O)N(Cc1cnc(C)nc1)[C@H](C)[C@H](O)c1ccccc1,0.797,-8.347
sample41,CCCc1noc(NC2C(C)=C(NC(=O)c3n[nH]c(C)n3)[C@H]2C)c1C#N,0.722,-8.510
sample42,CCO[C@@H]1[C@H](C)[C@@H]1c1nc(CCn2cncn2)no1,0.775,-7.075
sample43,Cc1cc2oc([C@@H](N)[C@H](C)N)nc2cc1N1CCOC[C@@H]1CCO,0.750,-7.662
sample44,Cc1csc(N(C(=O)C2(CBr)CC2)c2cncn(C)c2=O)c1N,0.805,-7.349
sample45,C[C@@H]1CC[C@@](C)(c2nc(CC[C@H]3CCC(=O)N3C)no2)C1,0.855,-7.777
sample46,Cc1c(C#N)cccc1Oc1cc([C@H](C)NC(C)[C@H]2CCCC[C@H]2N)ccn1,0.767,-8.537
sample47,O=C1OCC[C@H]1N1CCN(c2ccc(-c3cn([C@@H]4COCCC4=O)nn3)nn2)CC1,0.619,-8.541
